label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
mai_Deva,43579,58,0.9734513274336283,0.9734513274336283,0.9734513274336283,0,0,0
mal_Mlym,100000,100,1.0,1.0,1.0,0,0,0
mam_Latn,100000,58,0.9824561403508771,0.9827586206896551,0.9747899159663865,0,1,3
mar_Deva,100000,59,1.0,1.0,1.0,0,0,0
maz_Latn,17588,59,0.3142857142857143,0.5063291139240507,0.5063291139240507,0,0,0
mcd_Latn,26561,60,1.0,1.0,1.0,0,0,0
mcf_Latn,17567,62,1.0,1.0,1.0,0,0,0
men_Latn,16422,59,0.9752066115702479,0.9833333333333333,0.9915966386554621,3,2,1
mfq_Latn,21554,58,1.0,1.0,1.0,0,0,0
mic_Latn,17716,59,0.4266666666666667,0.2898550724637681,0.15625,0,0,0
min_Latn,100000,59,1.0,1.0,0.9915966386554621,0,0,1
miq_Latn,86132,51,1.0,1.0,1.0,0,0,0
mkd_Cyrl,100000,58,0.9913043478260869,0.9913043478260869,0.9913043478260869,0,0,0
mlt_Latn,100000,59,0.9365079365079364,0.8872180451127819,0.7151515151515151,8,15,47
mnw_Mymr,291,56,1.0,1.0,1.0,0,0,0
mor_Latn,13526,59,1.0,0.9914529914529915,0.9914529914529915,0,0,0
mos_Latn,100000,56,0.9909909909909909,0.9909909909909909,0.9909909909909909,0,0,0
mri_Latn,73030,57,1.0,1.0,1.0,0,0,0
mto_Latn,24568,51,0.14545454545454545,0.21052631578947367,0.21052631578947367,0,0,0
mxv_Latn,100000,58,0.03389830508474576,0.06666666666666667,0.12903225806451613,0,0,0
mya_Mymr,100000,56,1.0,1.0,1.0,0,0,0
nav_Latn,81124,59,1.0,1.0,1.0,0,0,0
nba_Latn,100000,59,0.0,0.0,0.0,1,1,3
nbl_Latn,100000,58,0.0,0.0,0.0,1,1,1
ndo_Latn,100000,58,0.983050847457627,0.983050847457627,0.9666666666666666,2,2,4
nds_Latn,100000,58,1.0,1.0,0.9914529914529915,0,0,1
nio_Cyrl,90,51,1.0,1.0,1.0,0,0,0
niu_Latn,100000,58,0.9914529914529915,0.9586776859504132,0.9354838709677419,1,5,8
njo_Latn,30731,64,0.9921259842519685,0.9921259842519685,0.9921259842519685,0,0,0
nld_Latn,100000,58,0.9914529914529915,0.9914529914529915,0.9914529914529915,1,1,1
nno_Latn,100000,58,0.9464285714285714,0.9464285714285714,0.9464285714285714,1,1,1
nob_Latn,100000,62,0.9312977099236642,0.9312977099236642,0.9312977099236642,8,8,8
not_Latn,24235,59,0.9914529914529915,0.9914529914529915,0.9914529914529915,0,0,0
npi_Deva,100000,55,1.0,1.0,0.9909909909909909,0,0,1
nso_Latn,100000,58,1.0,1.0,1.0,0,0,0
nya_Latn,100000,116,0.9871244635193134,0.9871244635193134,0.9663865546218487,2,2,7
nyn_Latn,100000,50,0.98989898989899,1.0,1.0,0,0,0
nzi_Latn,100000,59,1.0,1.0,1.0,0,0,0
oci_Latn,100000,398,0.38866396761133604,0.3983903420523139,0.4229249011857708,0,0,1
ojb_Cans,33721,44,0.9523809523809523,0.9647058823529412,0.9647058823529412,0,0,0
oss_Cyrl,100000,44,1.0,1.0,1.0,0,0,0
ote_Latn,56504,59,0.12698412698412698,0.15384615384615385,0.15384615384615385,0,1,1
pam_Latn,34170,66,1.0,1.0,1.0,0,0,0
pan_Guru,100000,58,1.0,1.0,1.0,0,0,0
pap_Latn,100000,58,0.9586776859504132,0.928,0.9133858267716535,5,9,11
