lang,n_scoreable,n_self_won,tau,excluded,cause
awx_Latn,2000,1992,44.67737849180433,False,
ayo_Latn,2000,2000,82.04490191599528,False,
ayp_Arab,2000,1999,13.8235568649292,False,
azg_Latn,2000,2000,6.035588222291727,False,
azz_Latn,2000,2000,15.273539103698731,False,
bao_Latn,2000,1996,4.646322447776784,False,
bav_Latn,2000,1993,21.30516396840412,False,
bbj_Latn,2000,1999,39.85791330871582,False,
bbk_Latn,2000,2000,61.50309885025024,False,
bbo_Latn,2000,1996,21.062441975911458,False,
bco_Latn,2000,2000,81.87119055167304,False,
bcw_Latn,2000,2000,17.635229735310872,False,
bdh_Latn,2000,1999,81.10019763183594,False,
bdq_Latn,2000,2000,42.01461204698351,False,
bea_Latn,1152,1152,36.8583303741455,False,
ben_Latn,2000,1954,7.606708425521851,False,
beq_Latn,2000,1988,11.370656419054667,False,
bew_Latn,2000,1860,1.00537847887675,False,
bfd_Latn,2000,2000,5.9437964477539085,False,
bfo_Latn,2000,1992,4.895161402893066,False,
bgr_Latn,2000,1996,1.362395057996116,False,
bgt_Latn,2000,1999,35.533907356262205,False,
bgz_Latn,2000,1996,24.843154454549154,False,
bhg_Latn,2000,2000,29.825064798312717,False,
bhp_Latn,2000,1919,12.713183692084417,False,
bhz_Latn,2000,1997,44.38252330932617,False,
bib_Latn,2000,1999,6.389704431152342,False,
biu_Latn,2000,1997,7.8395405653211805,False,
biv_Latn,2000,1999,0.1877373085021974,False,
bjn_Arab,2000,1908,1.7931573867797852,False,
bjp_Latn,2000,2000,36.52388519507514,False,
bkd_Latn,2000,1997,8.764509968058274,False,
bkl_Latn,2000,2000,71.40834822591145,False,
bkq_Latn,2000,1998,33.673866604699036,False,
bku_Latn,2000,2000,21.61691502719455,False,
bkv_Latn,2000,1999,27.933073670959473,False,
bla_Latn,1048,1046,31.981660113864475,False,
blh_Latn,2000,2000,47.10440283898247,False,
blt_Latn,2000,1999,106.20352470092773,False,
blw_Latn,2000,1999,21.66645477294922,False,
blz_Latn,2000,1997,4.33670007434421,False,
bmk_Latn,1657,1612,4.398745013809204,False,
bmq_Latn,2000,1999,15.376938870239261,False,
bmr_Latn,2000,2000,20.252333929824815,False,
bmv_Latn,2000,2000,48.738321672630306,False,
bnj_Latn,2000,1970,2.1065613215976304,False,
bno_Latn,2000,1994,23.854585840733847,False,
boa_Latn,2000,2000,48.23916705780026,False,
bom_Latn,2000,1999,48.58277469329834,False,
bor_Latn,156,80,-inf,True,low_calibration
bov_Latn,2000,1998,4.993335122977378,False,
box_Latn,2000,2000,20.8199904288398,False,
bpr_Latn,2000,1896,0.02975407409667968,False,
bps_Latn,2000,1913,0.11719332275390627,False,
bqj_Latn,2000,1999,33.07322854919433,False,
bqp_Latn,2000,1970,3.080010041978624,False,
brh_Arab,2000,1965,2.7141105902777776,False,
bru_Latn,2000,2000,40.821218404324924,False,
brx_Deva,2000,1977,8.636892659505207,False,
brx_Latn,374,374,25.945577570258244,False,
bsc_Latn,2000,2000,35.07174109299977,False,
bsn_Latn,2000,1992,3.6282303171793595,False,
bsp_Latn,2000,1989,23.075121231079102,False,
bsq_Latn,2000,1974,29.552520751953125,False,
bss_Latn,2000,2000,17.302833324644304,False,
btd_Latn,2000,1985,10.544597452799477,False,
bth_Latn,2000,1998,35.859341826205785,False,
btt_Latn,2000,2000,26.073499352264406,False,
bud_Latn,2000,2000,35.628810724237226,False,
bug_Latn,2000,1928,4.196632315434351,False,
bvc_Latn,2000,1999,15.605480592346192,False,
bvd_Latn,2000,1991,11.506802109188504,False,
bvr_Latn,2000,1999,43.45287647705076,False,
bvz_Latn,2000,2000,74.30860330327351,False,
bwd_Latn,2000,1988,17.236319265407985,False,
bwi_Latn,221,219,11.728423552661472,False,
bwq_Latn,2000,1992,10.077354890272353,False,
