lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
cbr_Latn,24284,False,0.9990645463049579,3,0.9990645463049579,3,0.9990645463049579,3,1602
cbs_Latn,27312,False,0.9958711808422791,9,0.9958711808422791,9,0.9958711808422791,9,1207
cbt_Latn,10883,False,0.9976042165788213,5,0.9985611510791367,3,0.9985597695631302,2,1041
cbu_Latn,16983,False,0.9877464038359085,20,0.9877464038359085,20,0.9956942949407965,3,930
cbv_Latn,27955,False,0.9991728701406121,1,0.9983471074380166,2,0.9983471074380166,2,604
cce_Latn,100000,False,0.9733132869761323,305,0.9717043005715357,354,0.9680369558116747,437,10621
cco_Latn,17689,False,1.0,0,1.0,0,1.0,0,1746
ccp_Latn,6763,False,0.9127413127413128,111,0.9395866454689984,74,0.9890480202190396,7,593
cdf_Latn,6763,False,0.9776632302405498,26,0.9895652173913044,12,0.9964912280701754,3,569
cdo_Latn,9577,False,0.9966101694915255,5,0.9943630214205186,9,0.9988674971687429,1,883
ceb_Latn,100000,False,0.9664249764554577,1512,0.966491192549099,1563,0.967539520949008,1741,202617
ceg_Latn,13524,False,0.9965156794425087,9,0.9965156794425087,9,0.9976744186046511,6,1287
cek_Latn,44097,False,0.9931146213041717,30,0.9924446842957366,35,0.9924446842957366,35,3699
ces_Latn,100000,False,0.9802714167573967,5382,0.9800707512113914,5532,0.9796715975540581,5768,166015
cfm_Latn,80737,False,0.9513546423135464,704,0.9511289635445195,709,0.9511289635445195,709,7908
cgc_Latn,17863,False,0.9718076285240465,64,0.971844981782047,66,0.9905469277515192,9,1486
cgg_Latn,34573,False,0.7142857142857144,2384,0.7099642198850699,2429,0.7099642198850699,2429,3520
cha_Latn,19311,False,0.935801041064199,99,0.9370306181398036,99,0.9370306181398036,99,821
chd_Latn,18037,False,0.9741772151898734,12,0.9741772151898734,12,0.9741772151898734,12,1001
che_Cyrl,56243,False,0.9357458075904678,306,0.9373297002724795,322,0.9373297002724795,322,5723
chf_Latn,18010,False,0.991332611050921,5,0.989713048186248,7,0.989713048186248,7,926
chj_Latn,4286,False,1.0,0,1.0,0,1.0,0,339
chk_Latn,100000,False,0.9973866164897033,52,0.9975223880597015,66,0.9971213364158401,102,33517
cho_Latn,1031,False,0.5609756097560975,35,0.7796610169491525,12,0.9387755102040817,2,24
