tag,support,f1_baseline,f1_floor21,f1_gated
orm,1060,0.9638554216867471,0.9644230769230768,0.9625719769673705
ory,608,0.962457337883959,0.9738396624472574,0.979009235936188
pan,1020,0.9345150172328902,0.9451518119490696,0.9649999999999999
pcm,2,0.003048780487804878,0.00261437908496732,0.00261437908496732
pol,1,0.046511627906976744,0.038461538461538464,0.018691588785046728
por,2443,0.8488603673379065,0.8459841129744041,0.8358721304441107
rcf,401,0.8312757201646092,0.8073654390934843,0.7423312883435583
rus,4003,0.8807819383259913,0.8835363350212125,0.8914223669923995
san,895,0.8483383685800605,0.847129909365559,0.8438061041292639
sna,1355,0.8794093519278097,0.881342062193126,0.887090246863618
sot,943,0.9568069983597595,0.9561883899233298,0.9561883899233298
spa,4236,0.8027804279678342,0.8033700231009647,0.8127161479116786
swa,4031,0.8866286281319771,0.8904261890055589,0.8946725317693061
swh,12383,0.9282499567249437,0.9303330022027384,0.9332356995175741
tam,81,0.8852459016393442,0.8901098901098902,0.9585798816568047
tat,1029,0.8862745098039215,0.9008470353761834,0.9078226208271051
tel,11747,0.9903170522707797,0.9911747065375718,0.9981251065280382
tgl,2223,0.9113614103819785,0.9118942731277533,0.9148157188186478
tha,3118,0.9670366075865496,0.9760341431385424,0.9785562285153052
tuk,22,0.5538461538461539,0.5454545454545455,0.49315068493150693
tur,4486,0.9278181392078744,0.9314045730284647,0.9369452449567724
ukr,2,0.0,0.0,0.0196078431372549
urd,204,0.7349081364829397,0.7371134020618556,0.7336683417085427
uzb,43189,0.9383764154531291,0.9413146114141734,0.9450873389041831
uzs,9,0.9411764705882353,0.9411764705882353,0.9411764705882353
vec,1558,0.7988885029524141,0.786862812179268,0.7573194534808066
vie,21803,0.9865031244918344,0.9887156197140672,0.9891228882203194
wuu,631,0.8464351005484461,0.8516833484986351,0.8516833484986351
xho,575,0.9105839416058396,0.9072727272727272,0.9031674208144798
yor,2290,0.8921663442940039,0.8964354527938344,0.9033030157970321
yue,425,0.6201298701298701,0.6088379705400983,0.6088379705400983
zho,11738,0.95707393509546,0.9555665267835104,0.9558527052046903
zsm,343,0.7458866544789762,0.7481751824817517,0.7771836007130124
zul,4,0.0,0.0,0.0
