lang,N,row_treatment,gate_on,rule_clause,floor_unmod,floor_assigned,seen_rescale,target_lang,floor_gap_shift
cpu_Latn,17825,floor21,True,else_floor21_gate,-17.466986,-21.0,0.0,cni_Latn,-3.0326440000000012
cpy_Latn,14716,floor21,True,else_floor21_gate,-17.348663,-21.0,0.0,cjo_Latn,0.0
crh_Cyrl,38964,unmod,False,head_unmod,-18.276773,,0.0,tuk_Cyrl,0.0
crh_Latn,17238,floor21,True,else_floor21_gate,-17.326204,-21.0,0.0,tur_Latn,-2.0946250000000006
cri_Latn,2059,floor21,True,else_floor21_gate,-14.806609,-21.0,0.0,kea_Latn,-2.43149
crj_Cans,4295,floor21,True,else_floor21_gate,-16.551332,-21.0,0.0,crm_Cans,0.0
crk_Cans,4454,floor21,True,else_floor21_gate,-16.401381,-21.0,0.0,crm_Cans,0.0
crk_Latn,6188,floor21,True,else_floor21_gate,-16.58005,-21.0,0.0,ojb_Latn,-2.758852000000001
crl_Cans,4295,floor21,True,else_floor21_gate,-16.562174,-21.0,0.0,crm_Cans,0.0
crm_Cans,11058,floor21,True,else_floor21_gate,-17.284027,-21.0,0.0,ojb_Cans,-2.426725000000001
crn_Latn,37171,unmod,False,head_unmod,-18.868622,,0.0,tar_Latn,0.0
crs_Latn,100000,unmod,False,head_unmod,-18.593836,,0.0,,
crt_Latn,10872,floor21,True,else_floor21_gate,-17.336987,-21.0,0.0,cha_Latn,-3.548480999999999
crx_Latn,11044,floor21,True,else_floor21_gate,-17.211882,-21.0,0.0,caf_Latn,0.0
csb_Latn,9336,floor21,True,else_floor21_gate,-16.653099,-21.0,0.0,pol_Latn,-1.5660589999999992
csk_Latn,17816,floor21,True,else_floor21_gate,-17.580795,-21.0,0.0,fuv_Latn,-3.190923999999999
cso_Latn,17825,floor21,True,else_floor21_gate,-17.893267,-21.0,0.0,cpa_Latn,0.0
csw_Cans,124,floor21,True,else_floor21_gate,-13.524582,-21.0,0.0,cwd_Cans,0.0
csw_Latn,247,floor21,True,else_floor21_gate,-13.637094,-21.0,0.0,aqz_Latn,0.0
csy_Latn,36704,unmod,False,head_unmod,-18.055843,,0.0,zom_Latn,0.0
cta_Latn,17725,floor21,True,else_floor21_gate,-17.854685,-21.0,0.0,cya_Latn,0.0
ctd_Latn,66425,unmod,False,head_unmod,-18.616621,,0.0,cfm_Latn,0.0
