lang,tier
bzd_Latn,script
bzh_Latn,script
bzi_Thai,script
bzj_Latn,script
caa_Latn,genus_script
cab_Latn,family_script
cac_Latn,genus_script
caf_Latn,script
cag_Latn,script
cak_Latn,genus_script
cao_Latn,genus_script
cap_Latn,script
caq_Latn,family_script
car_Latn,genus_script
cas_Latn,script
cat_Latn,genus_script
cav_Latn,family_script
cax_Latn,script
cbc_Latn,script
cbi_Latn,script
cbk_Latn,genus_script
cbr_Latn,genus_script
cbs_Latn,genus_script
cbt_Latn,script
cbu_Latn,script
cbv_Latn,script
cce_Latn,script
cco_Latn,family_script
ccp_Latn,script
cdf_Latn,script
cdo_Latn,family_script
ceb_Latn,genus_script
ceg_Latn,script
cek_Latn,script
ces_Latn,genus_script
cfm_Latn,script
cgc_Latn,script
cgg_Latn,genus_script
cha_Latn,family_script
chd_Latn,script
che_Cyrl,script
chf_Latn,genus_script
chj_Latn,script
chk_Latn,genus_script
cho_Latn,script
chq_Latn,family_script
chr_Cher,none
chr_Latn,script
chu_Cyrl,script
chv_Cyrl,genus_script
chw_Latn,script
chz_Latn,script
cjk_Latn,script
cjo_Latn,family_script
cjp_Latn,script
cjs_Cyrl,genus_script
cjv_Latn,genus_script
ckb_Arab,genus_script
cko_Latn,family_script
ckt_Cyrl,script
cle_Latn,family_script
clu_Latn,script
cly_Latn,script
cme_Latn,family_script
cmn_Hani,genus_script
cmo_Khmr,script
cmo_Latn,script
cmr_Latn,script
cnh_Latn,genus_script
cni_Latn,family_script
cnk_Latn,genus_script
cnl_Latn,script
cnt_Latn,family_script
cnw_Latn,script
coe_Latn,script
cof_Latn,script
cok_Latn,script
con_Latn,script
cop_Copt,none
cor_Latn,genus_script
cos_Latn,script
cot_Latn,script
cou_Latn,family_script
cpa_Latn,family_script
cpb_Latn,script
cpc_Latn,family_script
cpu_Latn,script
cpy_Latn,script
crh_Cyrl,genus_script
crh_Latn,genus_script
cri_Latn,script
crj_Cans,script
crk_Cans,script
crk_Latn,script
crl_Cans,script
crm_Cans,script
crn_Latn,family_script
crs_Latn,genus_script
crt_Latn,script
crx_Latn,script
csb_Latn,genus_script
csk_Latn,family_script
cso_Latn,family_script
csw_Cans,script
csw_Latn,script
csy_Latn,genus_script
cta_Latn,genus_script
ctd_Latn,genus_script
cto_Latn,genus_script
ctp_Latn,genus_script
ctu_Latn,genus_script
cub_Latn,script
cuc_Latn,family_script
cui_Latn,script
cuk_Latn,script
cul_Latn,script
cut_Latn,family_script
cux_Latn,family_script
cwd_Cans,script
cwe_Latn,script
cwt_Latn,script
cya_Latn,genus_script
cym_Latn,genus_script
czt_Latn,script
daa_Latn,family_script
dad_Latn,script
daf_Latn,script
dag_Latn,genus_script
dah_Latn,script
dak_Latn,script
dan_Latn,genus_script
dar_Cyrl,script
dbq_Latn,family_script
ddg_Latn,script
ddn_Latn,script
ded_Latn,script
des_Latn,script
deu_Latn,genus_script
dga_Latn,genus_script
dgc_Latn,genus_script
dgi_Latn,script
dgr_Latn,script
dgz_Latn,family_script
dhg_Latn,script
dhm_Latn,script
dhv_Latn,genus_script
did_Latn,family_script
dig_Latn,script
dik_Latn,script
dip_Latn,script
diq_Latn,family_script
dis_Latn,genus_script
diu_Latn,script
div_Thaa,none
dje_Latn,script
djk_Latn,genus_script
djr_Latn,script
dks_Latn,script
dln_Latn,script
dng_Cyrl,script
dnj_Latn,family_script
dnw_Latn,script
dob_Latn,script
doi_Deva,script
dop_Latn,script
dos_Latn,script
dow_Latn,family_script
drg_Latn,script
dru_Latn,family_script
dsb_Latn,genus_script
dsh_Latn,family_script
dtb_Latn,script
dtp_Latn,script
dts_Latn,script
dty_Deva,script
dua_Latn,genus_script
due_Latn,script
dug_Latn,script
duo_Latn,genus_script
dur_Latn,family_script
dwr_Ethi,family_script
dwr_Latn,genus_script
dww_Latn,script
dyi_Latn,family_script
dyo_Latn,family_script
dyu_Latn,genus_script
dzo_Tibt,script
ebk_Latn,script
efi_Latn,family_script
eka_Latn,script
ekk_Latn,family_script
eko_Latn,genus_script
ell_Grek,script
eme_Latn,genus_script
emi_Latn,genus_script
eml_Latn,script
emp_Latn,genus_script
enb_Latn,script
eng_Latn,genus_script
enl_Latn,script
enm_Latn,script
enq_Latn,family_script
enx_Latn,script
epo_Latn,script
eri_Latn,script
ese_Latn,family_script
esi_Latn,script
esk_Latn,script
ess_Latn,script
esu_Latn,script
eto_Latn,script
etr_Latn,family_script
etu_Latn,family_script
eus_Latn,script
eve_Cyrl,family_script
ewe_Latn,genus_script
ewo_Latn,genus_script
ext_Latn,script
eza_Latn,script
faa_Latn,family_script
fad_Latn,script
fai_Latn,script
fal_Latn,script
fan_Latn,script
fao_Latn,genus_script
far_Latn,script
fas_Arab,script
fat_Latn,script
ffm_Latn,genus_script
fij_Latn,genus_script
fil_Latn,script
fin_Latn,family_script
fit_Latn,script
fkv_Latn,script
fmu_Deva,script
fon_Latn,genus_script
for_Latn,family_script
fra_Latn,genus_script
frd_Latn,family_script
fro_Latn,script
frp_Latn,script
frr_Latn,genus_script
fry_Latn,genus_script
fub_Latn,genus_script
fud_Latn,genus_script
fue_Latn,script
fuf_Latn,genus_script
fuh_Latn,genus_script
fuq_Latn,script
fur_Latn,script
fuv_Arab,script
fuv_Latn,genus_script
gaa_Latn,family_script
gag_Cyrl,genus_script
gag_Latn,genus_script
gah_Latn,family_script
gai_Latn,script
gam_Latn,script
gaw_Latn,script
gaz_Latn,family_script
gbi_Latn,script
gbo_Latn,script
gbr_Latn,family_script
gcf_Latn,genus_script
gcr_Latn,genus_script
gde_Latn,family_script
gdg_Latn,script
gdn_Latn,script
gdr_Latn,script
geb_Latn,script
gej_Latn,script
gfk_Latn,genus_script
ghe_Deva,script
ghs_Latn,family_script
gid_Latn,family_script
gil_Latn,genus_script
giz_Latn,script
gjn_Latn,script
gkn_Latn,family_script
gla_Latn,genus_script
gle_Latn,genus_script
glg_Latn,genus_script
glk_Arab,genus_script
glv_Latn,genus_script
gmh_Latn,script
gmv_Ethi,family_script
gmv_Latn,genus_script
gna_Latn,script
gnb_Latn,script
gnd_Latn,script
gng_Latn,script
gnn_Latn,script
gnw_Latn,script
goa_Latn,family_script
gof_Ethi,script
gof_Latn,script
gog_Latn,script
goh_Latn,script
gom_Deva,script
gom_Latn,script
gor_Latn,genus_script
gos_Latn,script
got_Goth,none
got_Latn,script
gqr_Latn,script
grc_Grek,script
grt_Beng,script
gso_Latn,family_script
gsw_Latn,genus_script
gub_Latn,genus_script
guc_Latn,family_script
gud_Latn,script
gug_Latn,genus_script
guh_Latn,script
gui_Latn,genus_script
guj_Gujr,none
guj_Latn,genus_script
guk_Ethi,script
gul_Latn,script
gum_Latn,script
gun_Latn,script
guo_Latn,script
guq_Latn,genus_script
gur_Latn,genus_script
guu_Latn,script
guw_Latn,genus_script
gux_Latn,genus_script
guz_Latn,genus_script
gvc_Latn,script
gvf_Latn,genus_script
gvl_Latn,script
gvn_Latn,script
gwi_Latn,script
gwr_Latn,script
gya_Latn,family_script
gym_Latn,script
gyr_Latn,script
hac_Arab,genus_script
hae_Latn,family_script
hag_Latn,script
hak_Hani,genus_script
hak_Latn,family_script
hat_Latn,genus_script
hau_Latn,family_script
hav_Latn,script
haw_Latn,genus_script
hay_Latn,genus_script
hbo_Hebr,script
hbs_Latn,genus_script
hch_Latn,family_script
heb_Hebr,script
heg_Latn,script
heh_Latn,genus_script
her_Latn,genus_script
hif_Latn,script
hig_Latn,script
hil_Latn,genus_script
hin_Deva,genus_script
hin_Latn,genus_script
hix_Latn,genus_script
hla_Latn,genus_script
hlt_Latn,script
hmo_Latn,script
hmr_Latn,genus_script
hne_Deva,script
hnj_Latn,family_script
hnn_Latn,genus_script
hns_Latn,script
hoc_Latn,family_script
hoc_Wara,none
hop_Latn,family_script
hot_Latn,script
hra_Latn,script
hrx_Latn,script
hsb_Latn,genus_script
hto_Latn,script
hub_Latn,genus_script
hui_Latn,script
hun_Hung,none
hun_Latn,family_script
hus_Latn,genus_script
huu_Latn,script
huv_Latn,script
hvn_Latn,family_script
hwc_Latn,genus_script
hye_Armn,script
hyw_Armn,script
ian_Latn,genus_script
iba_Latn,genus_script
ibg_Latn,genus_script
ibo_Latn,family_script
icr_Latn,script
ido_Latn,script
idu_Latn,family_script
ifa_Latn,script
ifb_Latn,genus_script
ife_Latn,script
ifk_Latn,script
ifu_Latn,script
ify_Latn,script
ige_Latn,family_script
ign_Latn,family_script
ike_Cans,script
ikk_Latn,script
ikt_Latn,script
ikw_Latn,script
ilb_Latn,genus_script
ile_Latn,script
ilo_Latn,genus_script
imo_Latn,script
ina_Latn,script
inb_Latn,genus_script
ind_Latn,genus_script
inh_Cyrl,script
ino_Latn,script
iou_Latn,script
ipi_Latn,script
iqw_Latn,script
iri_Latn,script
irk_Latn,family_script
iry_Latn,script
isd_Latn,genus_script
ish_Latn,script
isl_Latn,genus_script
iso_Latn,genus_script
ita_Latn,genus_script
itl_Cyrl,script
