lang,n_corpus_lines,n_scoreable,n_self_won,train_top1_rate,tau,excluded
mgm_Latn,179,179,172,0.9608938547486033,-inf,True
mhw_Latn,524,524,519,0.9904580152671756,14.848646545410157,False
min_Arab,847,847,814,0.961038961038961,3.7522346496582033,False
mlu_Latn,815,815,808,0.9914110429447853,20.291715621948242,False
mni_Latn,889,889,884,0.9943757030371203,23.17061462402344,False
mns_Cyrl,971,971,970,0.9989701338825953,25.29769821166992,False
mnw_Mymr,291,291,290,0.9965635738831615,75.75776824951171,False
mrq_Latn,827,827,807,0.9758162031438936,16.733396148681642,False
mrv_Latn,137,137,118,0.8613138686131386,-inf,True
mus_Latn,406,406,405,0.9975369458128078,10.807145690917968,False
mwf_Latn,268,268,268,1.0,103.12970504760743,False
ndh_Latn,625,625,618,0.9888,10.315927124023437,False
nio_Cyrl,90,90,90,1.0,-inf,True
nla_Latn,233,233,230,0.9871244635193133,23.932518005371094,False
non_Latn,502,502,455,0.9063745019920318,3.2298889160156254,False
npi_Latn,359,359,357,0.9944289693593314,13.177716064453126,False
ory_Latn,435,435,430,0.9885057471264368,8.106587219238282,False
ota_Arab,674,674,567,0.841246290801187,1.1634979248046875,False
otw_Latn,85,85,84,0.9882352941176471,-inf,True
pmq_Latn,315,315,315,1.0,78.48226470947266,False
pnt_Grek,846,846,807,0.9539007092198581,4.945382690429687,False
prg_Latn,891,891,888,0.9966329966329966,8.113475799560547,False
pwn_Latn,561,561,517,0.9215686274509803,90.10363159179687,False
rme_Latn,366,366,366,1.0,18.464128494262695,False
say_Latn,693,693,691,0.9971139971139971,15.185099601745605,False
sbs_Latn,271,271,265,0.977859778597786,5.1404571533203125,False
sby_Latn,172,172,151,0.877906976744186,-inf,True
sdc_Latn,692,692,677,0.9783236994219653,11.946926879882813,False
sdo_Latn,643,643,635,0.9875583203732504,20.29744873046875,False
sel_Cyrl,111,111,111,1.0,-inf,True
sgh_Cyrl,614,614,605,0.9853420195439739,14.498129272460938,False
sjo_Mong,688,688,688,1.0,74.21394767761231,False
sju_Latn,102,102,98,0.9607843137254902,-inf,True
soe_Latn,945,945,941,0.9957671957671957,13.14031982421875,False
tat_Latn,885,885,869,0.9819209039548022,8.683308410644532,False
tay_Latn,743,743,740,0.9959623149394348,57.2085922241211,False
thv_Latn,372,372,266,0.7150537634408602,0.525665283203125,False
tkl_Latn,505,505,481,0.9524752475247524,2.9730072021484375,False
tkr_Cyrl,777,777,777,1.0,39.12776489257813,False
tpn_Latn,493,493,485,0.9837728194726166,6.1089630126953125,False
tpw_Latn,360,360,346,0.9611111111111111,2.950654983520508,False
tuv_Latn,532,532,522,0.981203007518797,12.454513549804688,False
tzl_Latn,190,190,153,0.8052631578947368,-inf,True
vot_Latn,119,119,101,0.8487394957983193,-inf,True
wew_Latn,727,727,718,0.9876203576341128,20.324077224731447,False
whg_Latn,782,782,773,0.9884910485933504,25.413674926757814,False
xum_Latn,113,113,104,0.9203539823008849,-inf,True
yup_Latn,270,270,269,0.9962962962962963,26.786590576171875,False
zpg_Latn,833,833,829,0.9951980792316927,40.12036285400391,False
zpj_Latn,90,90,84,0.9333333333333333,-inf,True
zsm_Arab,281,281,100,0.35587188612099646,-inf,True
