lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
mns_Cyrl,Cyrl,971,2.988,3.1027,3.073,0.2,156,0.4127,kca_Cyrl,0.5769,rue_Cyrl,0.1142,0,2,2.0,isolated_tail
mnw_Mymr,Mymr,291,2.465,3.1122,9.612,0.2,94,0.554,ldn_Latn,0.7075,blk_Mymr,0.0111,0,0,0.0,flat_magnet
mnx_Latn,Latn,6272,3.797,2.8773,0.369,0.2,41,0.865,zpj_Latn,1.0865,lad_Latn,0.6228,6,0,0.0,mid
mny_Latn,Latn,41872,4.622,2.9637,1.578,0.2,226,0.2827,chw_Latn,0.2827,chw_Latn,0.4193,38,0,0.0,head
moa_Latn,Latn,17800,4.25,2.7613,-1.255,0.2,3,0.9401,dnj_Latn,0.9401,dnj_Latn,0.8297,23,0,0.0,mid
moc_Latn,Latn,18050,4.257,2.8349,-0.224,0.2,22,0.5766,tob_Latn,0.5766,tob_Latn,0.4298,18,0,0.0,head
mog_Latn,Latn,13436,4.128,2.874,0.322,0.2,52,0.8391,drg_Latn,0.9526,bjn_Latn,0.4858,10,0,0.0,mid
moh_Latn,Latn,1569,3.196,2.9941,2.004,0.2,172,0.6331,thv_Latn,0.79,ben_Latn,0.4013,2,0,0.0,mid
mop_Latn,Latn,18531,4.268,2.8344,-0.232,0.2,31,0.9149,thv_Latn,0.9491,yua_Latn,0.1853,10,0,0.0,head
mor_Latn,Latn,13526,4.131,2.799,-0.727,0.2,34,0.9244,tzl_Latn,1.2291,ile_Latn,0.9384,12,0,0.0,mid
mos_Latn,Latn,100000,5.0,2.8151,-0.502,0.2,10,0.9566,kas_Latn,,,,505,1,0.002,head
mox_Latn,Latn,30851,4.489,2.8316,-0.272,0.2,7,0.7713,mzz_Latn,1.0922,dob_Latn,0.9942,17,0,0.0,head
mpg_Latn,Latn,17806,4.251,2.8588,0.11,0.2,56,0.8691,mgm_Latn,1.0294,bam_Latn,0.9523,12,0,0.0,mid
mph_Latn,Latn,1016,3.007,3.0498,2.782,0.2,137,0.6238,vot_Latn,0.7719,wmt_Latn,0.5202,1,1,0.5,mid
mpm_Latn,Latn,17709,4.248,2.7826,-0.957,0.2,13,0.7352,xtn_Latn,0.7352,xtn_Latn,0.7431,16,0,0.0,mid
mpp_Latn,Latn,13388,4.127,2.8055,-0.636,0.2,25,0.9206,sby_Latn,1.0246,ded_Latn,0.3862,3,0,0.0,mid
mps_Latn,Latn,62082,4.793,2.7805,-0.986,0.2,0,1.0618,asm_Latn,1.2261,rmy_Latn,0.8793,41,0,0.0,head
mpt_Latn,Latn,30449,4.484,2.8043,-0.653,0.2,1,0.995,goh_Latn,1.2168,mas_Latn,0.9531,5,0,0.0,head
mpx_Latn,Latn,28162,4.45,2.8957,0.626,0.2,45,0.8034,nmw_Latn,0.9183,tte_Latn,0.9231,11,0,0.0,head
mqb_Latn,Latn,17749,4.249,2.8425,-0.119,0.2,39,0.8935,gid_Latn,0.9391,mfk_Latn,0.9979,18,0,0.0,mid
mqj_Latn,Latn,24541,4.39,2.9172,0.927,0.2,60,0.4844,ptu_Latn,0.727,mak_Latn,0.9421,9,0,0.0,head
mqy_Latn,Latn,11063,4.044,2.8762,0.353,0.2,73,0.8086,zpj_Latn,0.8303,jav_Latn,0.1106,13,0,0.0,mid
mrg_Latn,Latn,9720,3.988,2.7697,-1.137,0.2,49,0.8658,mus_Latn,0.92,adi_Latn,0.3187,11,0,0.0,mid
mri_Latn,Latn,73030,4.864,2.8597,0.123,0.2,31,0.538,rar_Latn,0.538,rar_Latn,0.7303,65,1,0.015,head
mrj_Cyrl,Cyrl,32843,4.516,2.8151,-0.719,0.2,68,0.338,mhr_Cyrl,0.338,mhr_Cyrl,0.3284,26,11,0.407,head
mrq_Latn,Latn,827,2.918,3.2986,6.265,0.2,365,0.3064,mrv_Latn,0.5961,tah_Latn,0.0083,0,6,6.0,flat_magnet
mrv_Latn,Latn,137,2.14,3.7598,12.718,0.2,1313,0.1225,ldn_Latn,0.1247,bor_Latn,0.8782,0,0,0.0,flat_magnet
mrw_Latn,Latn,32855,4.517,2.9084,0.804,0.2,78,0.8079,pag_Latn,0.8079,pag_Latn,0.3286,29,0,0.0,head
msb_Latn,Latn,17760,4.249,2.9155,0.903,0.2,107,0.5055,bcl_Latn,0.5055,bcl_Latn,0.1776,9,5,0.5,mid
