lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
ess_Latn,Latn,6942,3.842,2.8867,0.5,0.2,94,0.6486,esu_Latn,0.6486,esu_Latn,0.6278,8,0,0.0,mid
esu_Latn,Latn,11057,4.044,2.9042,0.745,0.2,82,0.6486,ess_Latn,0.872,kal_Latn,0.1106,8,1,0.111,mid
eto_Latn,Latn,153,2.188,3.7621,12.751,0.2,1368,0.1136,ldn_Latn,0.1264,bor_Latn,0.9808,0,0,0.0,flat_magnet
etr_Latn,Latn,9965,3.999,2.8083,-0.597,0.2,34,0.883,sby_Latn,1.1282,kki_Latn,0.559,5,0,0.0,mid
etu_Latn,Latn,11024,4.042,2.8226,-0.397,0.2,33,0.894,tpw_Latn,1.1719,eka_Latn,0.6186,10,0,0.0,mid
eus_Latn,Latn,100000,5.0,2.9388,1.229,0.2,215,0.6283,lad_Latn,,,,795,5,0.006,head
eve_Cyrl,Cyrl,1953,3.291,2.9564,1.143,0.2,119,0.5542,lbe_Cyrl,0.6571,ckt_Cyrl,0.8607,2,0,0.0,mid
ewe_Latn,Latn,100000,5.0,2.8178,-0.464,0.2,18,0.575,ajg_Latn,,,,1416,0,0.0,head
ewo_Latn,Latn,11283,4.052,2.8584,0.104,0.2,68,0.7658,eto_Latn,0.9599,fan_Latn,0.6473,8,0,0.0,mid
ext_Latn,Latn,8692,3.939,3.0818,3.23,0.2,350,0.2178,ast_Latn,0.2178,ast_Latn,0.0869,7,24,3.0,flat_magnet
eza_Latn,Latn,30724,4.487,2.8605,0.134,0.2,18,0.2785,iqw_Latn,0.2801,izz_Latn,0.8194,29,0,0.0,head
faa_Latn,Latn,24288,4.385,2.8177,-0.465,0.2,4,0.9533,tpw_Latn,1.1983,mri_Latn,0.3326,5,0,0.0,head
fad_Latn,Latn,1949,3.29,3.0012,2.102,0.2,154,0.6414,zpj_Latn,0.7991,avk_Latn,0.6378,1,0,0.0,mid
fai_Latn,Latn,28850,4.46,2.8535,0.036,0.2,9,0.9623,thv_Latn,1.1596,jav_Latn,0.2885,8,0,0.0,head
fal_Latn,Latn,13515,4.131,2.8558,0.067,0.2,55,0.8584,kdr_Latn,0.9681,fuv_Latn,0.442,14,0,0.0,mid
fan_Latn,Latn,17431,4.241,2.8982,0.661,0.2,127,0.4904,bum_Latn,0.4904,bum_Latn,0.1743,20,1,0.048,mid
fao_Latn,Latn,94618,4.976,2.9164,0.916,0.2,124,0.2605,isl_Latn,0.2605,isl_Latn,0.9462,72,4,0.055,head
far_Latn,Latn,10940,4.039,2.8258,-0.352,0.2,48,0.4311,bvd_Latn,0.5946,kwf_Latn,0.5875,4,1,0.2,mid
fas_Arab,Arab,100000,5.0,2.8532,0.272,0.2,31,0.1587,glk_Arab,,,,3168,6,0.002,head
fat_Latn,Latn,39870,4.601,2.8485,-0.035,0.2,70,0.368,twi_Latn,0.368,twi_Latn,0.3987,37,8,0.211,head
ffm_Latn,Latn,24480,4.389,2.9493,1.376,0.2,92,0.1529,fuh_Latn,0.1529,fuh_Latn,0.9988,14,0,0.0,twin
fij_Latn,Latn,100000,5.0,2.8492,-0.024,0.2,33,0.8964,tkl_Latn,,,,1025,0,0.0,head
fil_Latn,Latn,100000,5.0,2.9874,1.91,0.2,196,0.4759,bcl_Latn,,,,1312,18,0.014,head
fin_Latn,Latn,100000,5.0,2.9668,1.621,0.2,160,0.2091,fit_Latn,,,,3298,10,0.003,head
fit_Latn,Latn,3881,3.589,3.0938,3.399,0.2,329,0.1111,fkv_Latn,0.2091,fin_Latn,0.0388,3,174,43.5,flat_magnet
fkv_Latn,Latn,1884,3.275,3.215,5.094,0.2,422,0.1111,fit_Latn,0.1111,fit_Latn,0.4854,3,33,8.25,flat_magnet
fmu_Deva,Deva,974,2.989,3.0522,2.571,0.2,101,0.5016,kex_Deva,0.5294,kas_Deva,0.1348,0,0,0.0,isolated_tail
fon_Latn,Latn,100000,5.0,2.8448,-0.086,0.2,2,0.7514,ajg_Latn,,,,198,0,0.0,head
for_Latn,Latn,31149,4.493,2.8256,-0.355,0.2,5,0.9725,diu_Latn,1.1225,kin_Latn,0.3115,7,0,0.0,head
fra_Latn,Latn,100000,5.0,2.9903,1.95,0.2,192,0.2222,nrf_Latn,,,,2726,15,0.006,head
frd_Latn,Latn,10934,4.039,2.8692,0.255,0.2,57,0.7952,kei_Latn,1.0208,bjn_Latn,0.3954,9,0,0.0,mid
fro_Latn,Latn,15794,4.199,2.9708,1.678,0.2,275,0.3077,fra_Latn,0.3077,fra_Latn,0.1579,13,40,2.857,flat_magnet
frp_Latn,Latn,5176,3.714,3.0604,2.931,0.2,294,0.313,nrf_Latn,0.313,nrf_Latn,0.8012,6,75,10.714,flat_magnet
frr_Latn,Latn,10794,4.033,3.0282,2.481,0.2,312,0.4124,nds_Latn,0.4124,nds_Latn,0.1079,13,20,1.429,mid
fry_Latn,Latn,100000,5.0,2.9402,1.248,0.2,197,0.4265,vls_Latn,,,,104,6,0.057,head
fub_Latn,Latn,38248,4.583,2.9615,1.547,0.2,92,0.2156,fuv_Latn,0.897,wol_Latn,0.5485,31,0,0.0,twin
fud_Latn,Latn,9316,3.969,2.849,-0.028,0.2,86,0.5005,wls_Latn,0.5005,wls_Latn,0.0932,8,12,1.333,mid
fue_Latn,Latn,10730,4.031,2.9771,1.765,0.2,137,0.2647,fuh_Latn,0.2647,fuh_Latn,0.4378,8,1,0.111,mid
fuf_Latn,Latn,21670,4.336,2.931,1.12,0.2,92,0.316,fuh_Latn,0.316,fuh_Latn,0.8842,19,0,0.0,head
fuh_Latn,Latn,24509,4.389,2.9658,1.607,0.2,101,0.1529,ffm_Latn,0.246,fuv_Latn,0.8015,12,0,0.0,twin
fuq_Latn,Latn,17770,4.25,2.9585,1.505,0.2,102,0.2429,fuv_Latn,0.2429,fuv_Latn,0.5811,16,0,0.0,mid
fur_Latn,Latn,46173,4.664,3.0004,2.091,0.2,268,0.3193,lmo_Latn,0.3193,lmo_Latn,0.7888,40,6,0.146,head
fuv_Arab,Arab,6753,3.83,2.734,-2.224,0.2,7,0.8618,knc_Arab,1.0664,aeb_Arab,0.2613,5,0,0.0,mid
fuv_Latn,Latn,30578,4.485,2.9933,1.992,0.2,189,0.2156,fub_Latn,0.2156,fub_Latn,0.7995,23,1,0.042,twin
gaa_Latn,Latn,100000,5.0,2.8093,-0.583,0.2,15,0.6903,ada_Latn,,,,972,0,0.0,head
gag_Cyrl,Cyrl,14070,4.148,2.8511,-0.245,0.2,69,0.6798,mhr_Cyrl,0.6798,mhr_Cyrl,0.1407,11,1,0.083,mid
gag_Latn,Latn,14325,4.156,2.8722,0.298,0.2,73,0.5358,tur_Latn,0.5358,tur_Latn,0.1432,10,12,1.091,mid
gah_Latn,Latn,24357,4.387,2.8376,-0.187,0.2,12,0.9784,sby_Latn,1.1213,tar_Latn,0.5212,7,0,0.0,head
gai_Latn,Latn,17631,4.246,2.808,-0.601,0.2,19,0.9553,tzl_Latn,1.141,mak_Latn,0.6768,9,0,0.0,mid
gam_Latn,Latn,24151,4.383,2.7935,-0.804,0.2,11,0.8713,whg_Latn,1.0279,kue_Latn,0.982,10,0,0.0,head
gaw_Latn,Latn,24230,4.384,2.7602,-1.27,0.2,0,1.0001,eto_Latn,1.2459,bjn_Latn,0.8762,6,0,0.0,head
gaz_Latn,Latn,100000,5.0,2.9398,1.243,0.2,85,0.2685,hae_Latn,,,,663,0,0.0,head
gbi_Latn,Latn,13298,4.124,2.869,0.252,0.2,52,0.5843,tlb_Latn,0.5843,tlb_Latn,0.9897,18,1,0.053,mid
gbo_Latn,Latn,6764,3.83,2.8016,-0.691,0.2,33,0.883,mev_Latn,1.0727,fon_Latn,0.0676,7,0,0.0,mid
gbr_Latn,Latn,10708,4.03,2.8209,-0.421,0.2,78,0.8387,mev_Latn,0.9188,hau_Latn,0.1071,9,0,0.0,mid
gcf_Latn,Latn,67389,4.829,2.8253,-0.359,0.2,30,0.3082,gcr_Latn,0.5273,hat_Latn,0.6739,63,0,0.0,head
gcr_Latn,Latn,26871,4.429,2.8373,-0.191,0.2,64,0.3082,gcf_Latn,0.3082,gcf_Latn,0.3987,25,2,0.077,head
gde_Latn,Latn,17787,4.25,2.7787,-1.011,0.2,7,0.8787,pbi_Latn,1.0821,meq_Latn,0.999,15,0,0.0,mid
gdg_Latn,Latn,10967,4.04,2.9362,1.193,0.2,98,0.7909,wew_Latn,0.7948,ibg_Latn,0.1125,7,0,0.0,mid
gdn_Latn,Latn,23906,4.379,2.8413,-0.135,0.2,10,0.946,mwc_Latn,1.0862,pwg_Latn,0.9768,9,0,0.0,head
gdr_Latn,Latn,24452,4.388,2.8411,-0.138,0.2,12,0.9535,aqz_Latn,1.2239,bjn_Latn,0.8842,8,0,0.0,head
geb_Latn,Latn,17527,4.244,2.7892,-0.865,0.2,6,0.9671,kdr_Latn,1.2769,jav_Latn,0.1753,10,0,0.0,mid
gej_Latn,Latn,6763,3.83,2.7988,-0.729,0.2,35,0.8751,mev_Latn,0.8924,ajg_Latn,0.2315,7,0,0.0,mid
gfk_Latn,Latn,23745,4.376,2.8457,-0.074,0.2,29,0.9261,lbb_Latn,0.9984,ksd_Latn,0.3983,8,0,0.0,head
ghe_Deva,Deva,11062,4.044,2.7609,-1.45,0.2,30,0.6407,npi_Deva,0.6407,npi_Deva,0.1106,8,0,0.0,mid
ghs_Latn,Latn,29407,4.468,2.7562,-1.326,0.2,3,0.9943,ory_Latn,1.2249,sid_Latn,0.2941,7,0,0.0,head
gid_Latn,Latn,11033,4.043,2.898,0.659,0.2,76,0.8285,arr_Latn,0.8608,meq_Latn,0.6197,10,0,0.0,mid
gil_Latn,Latn,100000,5.0,2.8101,-0.572,0.2,17,0.8748,rar_Latn,,,,336,0,0.0,head
giz_Latn,Latn,34343,4.536,2.8886,0.526,0.2,42,0.8993,swb_Latn,1.0032,fub_Latn,0.8979,28,1,0.034,head
gjn_Latn,Latn,30192,4.48,2.8423,-0.121,0.2,26,0.9378,mev_Latn,1.0393,gaa_Latn,0.3019,24,0,0.0,head
gkn_Latn,Latn,77520,4.889,2.785,-0.923,0.2,1,0.8918,yor_Latn,0.8918,yor_Latn,0.7752,68,2,0.029,head
gla_Latn,Latn,100000,5.0,2.8781,0.38,0.2,99,0.3619,gle_Latn,,,,109,2,0.018,head
gle_Latn,Latn,100000,5.0,2.8709,0.279,0.2,82,0.3619,gla_Latn,,,,244,2,0.008,head
glg_Latn,Latn,100000,5.0,3.0178,2.335,0.2,246,0.2278,por_Latn,,,,296,127,0.428,twin
glk_Arab,Arab,22263,4.348,2.8737,0.701,0.2,36,0.1587,fas_Arab,0.1587,fas_Arab,0.2226,23,188,7.833,head
glv_Latn,Latn,60970,4.785,2.8416,-0.131,0.2,59,0.8029,cym_Latn,0.8029,cym_Latn,0.6097,45,0,0.0,head
gmh_Latn,Latn,3042,3.483,3.0457,2.725,0.2,297,0.3645,goh_Latn,0.3762,deu_Latn,0.0304,3,3,0.75,mid
gmv_Ethi,Ethi,10916,4.038,2.7134,0.2,0.2,11,0.2635,gof_Ethi,0.2635,gof_Ethi,0.9923,12,0,0.0,mid
gmv_Latn,Latn,30907,4.49,2.9012,0.703,0.2,82,0.32,gof_Latn,0.4612,wal_Latn,0.3091,15,0,0.0,head
gna_Latn,Latn,10888,4.037,2.8286,-0.313,0.2,29,0.8806,sld_Latn,0.8806,sld_Latn,0.808,4,0,0.0,mid
gnb_Latn,Latn,11064,4.044,2.9044,0.747,0.2,96,0.38,vap_Latn,0.38,vap_Latn,0.3608,8,1,0.111,mid
gnd_Latn,Latn,13375,4.126,2.8593,0.116,0.2,38,0.9018,thv_Latn,0.9218,mfh_Latn,0.9896,11,0,0.0,mid
gng_Latn,Latn,17738,4.249,2.8367,-0.199,0.2,33,0.9037,kdr_Latn,0.9168,bam_Latn,0.9487,11,0,0.0,mid
gnn_Latn,Latn,15289,4.184,2.7856,-0.915,0.2,2,0.374,djr_Latn,1.3619,bvr_Latn,0.8622,11,0,0.0,mid
gnw_Latn,Latn,36657,4.564,2.8304,-0.288,0.2,10,0.349,gui_Latn,0.9239,gyr_Latn,0.7894,22,0,0.0,head
goa_Latn,Latn,1598,3.204,3.1166,3.717,0.2,203,0.5056,mev_Latn,0.7398,avk_Latn,0.5229,1,0,0.0,mid
gof_Ethi,Ethi,11001,4.041,2.743,0.681,0.2,13,0.2139,dwr_Ethi,0.6347,mdy_Ethi,0.164,3,0,0.0,mid
gof_Latn,Latn,17756,4.249,2.9205,0.973,0.2,94,0.32,gmv_Latn,0.32,gmv_Latn,0.5745,11,1,0.083,mid
gog_Latn,Latn,14102,4.149,2.9266,1.059,0.2,158,0.5153,kki_Latn,0.5153,kki_Latn,0.791,14,0,0.0,mid
goh_Latn,Latn,306,2.487,3.551,9.796,0.2,1235,0.2201,tzl_Latn,0.254,ang_Latn,0.6245,0,2,2.0,flat_magnet
gom_Deva,Deva,3496,3.544,2.9547,1.225,0.2,84,0.1508,kex_Deva,0.2153,mar_Deva,0.035,3,7,1.75,tight_lowres
gom_Latn,Latn,77660,4.89,2.8943,0.606,0.2,196,0.5961,mar_Latn,0.7983,sco_Latn,0.888,60,2,0.033,head
gor_Latn,Latn,13438,4.128,2.8781,0.379,0.2,62,0.8581,diu_Latn,1.0045,swh_Latn,0.1344,15,0,0.0,mid
gos_Latn,Latn,3946,3.596,3.1545,4.248,0.2,361,0.4047,zea_Latn,0.4047,zea_Latn,0.464,4,22,4.4,flat_magnet
got_Goth,Goth,7413,3.87,2.7981,0.0,0.2,35,0.8681,vot_Latn,,,,2,0,0.0,mid
got_Latn,Latn,4657,3.668,2.9329,1.147,0.2,140,0.5642,goh_Latn,0.876,pfl_Latn,0.5479,4,0,0.0,mid
gqr_Latn,Latn,17816,4.251,2.7693,-1.143,0.2,10,0.7447,bjv_Latn,0.7447,bjv_Latn,0.6172,14,0,0.0,mid
grc_Grek,Grek,100000,5.0,2.688,-0.329,0.2,3,0.2485,ell_Grek,,,,172,39,0.225,head
grt_Beng,Beng,13469,4.129,2.6787,-0.193,0.2,5,0.6159,syl_Beng,0.655,mni_Beng,0.3225,10,1,0.091,mid
gso_Latn,Latn,18608,4.27,2.8017,-0.69,0.2,38,0.8569,mev_Latn,0.9313,gya_Latn,0.4794,16,0,0.0,head
gsw_Latn,Latn,93517,4.971,2.9814,1.825,0.2,236,0.2042,pfl_Latn,0.2508,bar_Latn,0.9352,98,70,0.707,head
gub_Latn,Latn,56520,4.752,2.7942,-0.794,0.2,0,1.0467,eme_Latn,1.3472,gug_Latn,0.5652,55,0,0.0,head
guc_Latn,Latn,100000,5.0,2.7701,-1.132,0.2,2,0.9511,yup_Latn,,,,225,0,0.0,head
gud_Latn,Latn,11042,4.043,2.8051,-0.642,0.2,38,0.7268,kyf_Latn,0.7268,kyf_Latn,0.6264,12,0,0.0,mid
gug_Latn,Latn,100000,5.0,2.9495,1.379,0.2,142,0.3134,nhd_Latn,,,,406,2,0.005,head
guh_Latn,Latn,17659,4.247,2.7858,-0.912,0.2,2,0.8817,cui_Latn,0.8817,cui_Latn,0.9985,10,0,0.0,mid
gui_Latn,Latn,28148,4.449,2.8176,-0.467,0.2,31,0.349,gnw_Latn,0.349,gnw_Latn,0.7679,25,0,0.0,head
guj_Gujr,Gujr,100000,5.0,2.6084,0.0,0.2,0,1.2867,lad_Hebr,,,,878,0,0.0,head
guj_Latn,Latn,4070,3.61,3.0779,3.176,0.2,420,0.3077,tel_Latn,0.3547,kan_Latn,0.9876,2,2,0.667,mid
guk_Ethi,Ethi,13514,4.131,2.6839,-0.279,0.2,12,0.533,amh_Ethi,0.533,amh_Ethi,0.1351,14,0,0.0,mid
gul_Latn,Latn,17812,4.251,2.8237,-0.381,0.2,53,0.6477,hwc_Latn,0.7532,pcm_Latn,0.5355,12,0,0.0,mid
gum_Latn,Latn,19118,4.281,2.8112,-0.556,0.2,26,0.93,kas_Latn,1.166,arg_Latn,0.7377,14,0,0.0,head
gun_Latn,Latn,17907,4.253,2.8102,-0.571,0.2,37,0.5929,kgk_Latn,0.7331,gug_Latn,0.1791,9,0,0.0,mid
guo_Latn,Latn,17493,4.243,2.8311,-0.278,0.2,25,0.9426,tzl_Latn,1.2029,bjn_Latn,0.6325,9,0,0.0,mid
guq_Latn,Latn,13503,4.13,2.73,-1.693,0.2,17,0.9151,tpw_Latn,1.232,gug_Latn,0.135,11,0,0.0,mid
gur_Latn,Latn,77453,4.889,2.8873,0.509,0.2,46,0.7922,dga_Latn,0.979,twi_Latn,0.7745,68,0,0.0,head
guu_Latn,Latn,6743,3.829,2.7748,-1.066,0.2,29,0.904,sby_Latn,1.1498,ksh_Latn,0.5899,7,0,0.0,mid
guw_Latn,Latn,100000,5.0,2.8158,-0.492,0.2,4,0.9223,yor_Latn,,,,554,0,0.0,head
gux_Latn,Latn,27027,4.432,2.8296,-0.299,0.2,65,0.8479,bim_Latn,0.8479,bim_Latn,0.4498,20,0,0.0,head
guz_Latn,Latn,7508,3.876,2.9408,1.257,0.2,148,0.6603,hay_Latn,0.6603,hay_Latn,0.543,7,0,0.0,mid
gvc_Latn,Latn,24005,4.38,2.7948,-0.786,0.2,1,0.7569,pir_Latn,1.1426,tuo_Latn,0.8501,16,0,0.0,head
gvf_Latn,Latn,24429,4.388,2.8092,-0.584,0.2,11,0.8171,sll_Latn,1.0608,kue_Latn,0.9933,5,0,0.0,head
gvl_Latn,Latn,17827,4.251,2.8022,-0.683,0.2,27,0.9292,zpj_Latn,1.0399,sba_Latn,0.4749,9,1,0.1,mid
gvn_Latn,Latn,11212,4.05,2.8202,-0.43,0.2,28,0.9096,ory_Latn,1.0843,bjn_Latn,0.4054,13,0,0.0,mid
gwi_Latn,Latn,17620,4.246,2.8108,-0.563,0.2,13,0.9357,otw_Latn,1.1277,nav_Latn,0.2172,12,0,0.0,mid
gwr_Latn,Latn,6749,3.829,2.9737,1.717,0.2,184,0.4234,lug_Latn,0.4234,lug_Latn,0.0675,6,0,0.0,mid
gya_Latn,Latn,38815,4.589,2.8361,-0.209,0.2,8,0.8846,mev_Latn,1.1114,gur_Latn,0.5011,36,0,0.0,head
gym_Latn,Latn,100000,5.0,2.759,-1.287,0.2,0,1.0016,ory_Latn,,,,212,0,0.0,head
gyr_Latn,Latn,46436,4.667,2.84,-0.154,0.2,9,0.8221,gui_Latn,0.9317,gug_Latn,0.4644,20,0,0.0,head
hac_Arab,Arab,28717,4.458,2.8197,-0.429,0.2,15,0.2388,ckb_Arab,0.2388,ckb_Arab,0.2872,25,5,0.192,head
hae_Latn,Latn,13526,4.131,2.9372,1.206,0.2,97,0.2685,gaz_Latn,0.2685,gaz_Latn,0.1353,16,8,0.471,mid
hag_Latn,Latn,14200,4.152,2.8258,-0.352,0.2,64,0.623,maw_Latn,0.623,maw_Latn,0.8019,10,0,0.0,mid
hak_Hani,Hani,29565,4.471,2.615,0.0,0.2,5,0.1392,cmn_Hani,0.1392,cmn_Hani,0.2957,33,5,0.147,head
hak_Latn,Latn,13696,4.137,2.8079,-0.602,0.2,28,0.8611,nan_Latn,0.8611,nan_Latn,0.3289,14,0,0.0,mid
hat_Latn,Latn,100000,5.0,2.8796,0.401,0.2,129,0.5273,gcf_Latn,,,,387,3,0.008,head
hau_Latn,Latn,100000,5.0,2.9465,1.338,0.2,195,0.6781,knc_Latn,,,,382,4,0.01,head
hav_Latn,Latn,7393,3.869,3.0121,2.254,0.2,269,0.1856,shr_Latn,0.1856,shr_Latn,0.5891,9,3,0.3,twin
haw_Latn,Latn,6448,3.809,2.8508,-0.002,0.2,79,0.6953,tkl_Latn,0.8128,mri_Latn,0.0883,7,0,0.0,mid
hay_Latn,Latn,13828,4.141,3.032,2.533,0.2,267,0.2989,nyo_Latn,0.3395,nyn_Latn,0.1383,12,1,0.077,mid
hbo_Hebr,Hebr,100000,5.0,2.6202,0.558,0.2,3,0.2626,heb_Hebr,,,,119,64,0.533,head
hbs_Latn,Latn,100000,5.0,2.9621,1.555,0.2,229,0.1396,srp_Latn,,,,2169,97,0.045,twin
hch_Latn,Latn,30840,4.489,2.7919,-0.827,0.2,19,0.9337,yup_Latn,1.0836,ast_Latn,0.3084,22,0,0.0,head
heb_Hebr,Hebr,100000,5.0,2.6082,-0.791,0.2,3,0.2598,ydd_Hebr,,,,1824,36,0.02,head
heg_Latn,Latn,18356,4.264,2.885,0.476,0.2,55,0.8549,mgm_Latn,0.9479,sun_Latn,0.1836,13,0,0.0,head
heh_Latn,Latn,18364,4.264,2.9139,0.881,0.2,156,0.5838,ndj_Latn,0.6291,kde_Latn,0.682,12,2,0.154,head
her_Latn,Latn,100000,5.0,2.8848,0.473,0.2,79,0.6574,dhm_Latn,,,,113,1,0.009,head
hif_Latn,Latn,21900,4.34,2.9311,1.122,0.2,204,0.528,pan_Latn,0.5975,hin_Latn,0.6322,21,2,0.091,head
hig_Latn,Latn,13520,4.131,2.8076,-0.608,0.2,27,0.8545,pbi_Latn,0.9097,bcw_Latn,0.7639,11,0,0.0,mid
hil_Latn,Latn,100000,5.0,2.9667,1.619,0.2,130,0.4055,krj_Latn,,,,1459,12,0.008,head
hin_Deva,Deva,100000,5.0,2.9146,0.672,0.2,30,0.0848,anp_Deva,,,,1783,9,0.005,head
hin_Latn,Latn,34642,4.54,2.9119,0.852,0.2,99,0.5049,pan_Latn,0.8144,urd_Latn,0.9027,38,2,0.051,head
hix_Latn,Latn,17476,4.242,2.8109,-0.56,0.2,2,0.9938,diu_Latn,1.2695,diq_Latn,0.6231,9,0,0.0,mid
hla_Latn,Latn,23887,4.378,2.8775,0.372,0.2,47,0.86,mrv_Latn,1.0062,nsn_Latn,0.9803,5,0,0.0,head
hlt_Latn,Latn,6729,3.828,2.895,0.616,0.2,93,0.3022,cnk_Latn,0.3022,cnk_Latn,0.608,7,4,0.5,mid
hmo_Latn,Latn,100000,5.0,2.8012,-0.697,0.2,8,0.2491,meu_Latn,,,,888,4,0.004,head
hmr_Latn,Latn,61468,4.789,2.8653,0.2,0.2,35,0.521,lus_Latn,0.521,lus_Latn,0.6147,35,1,0.028,head
hne_Deva,Deva,50507,4.703,2.889,0.319,0.2,30,0.2469,bho_Deva,0.2469,bho_Deva,0.9044,45,10,0.217,head
hnj_Latn,Latn,61097,4.786,2.7346,-1.629,0.2,1,0.4438,mww_Latn,0.4438,mww_Latn,0.611,68,1,0.014,head
hnn_Latn,Latn,13501,4.13,2.9121,0.855,0.2,88,0.77,fil_Latn,0.77,fil_Latn,0.135,10,0,0.0,mid
hns_Latn,Latn,19168,4.283,2.838,-0.182,0.2,50,0.6561,hif_Latn,0.6561,hif_Latn,0.8753,13,0,0.0,head
hoc_Latn,Latn,380,2.581,3.7371,12.401,0.2,1192,0.1231,ldn_Latn,0.2384,arr_Latn,0.6643,0,0,0.0,flat_magnet
hoc_Wara,Wara,499,2.699,3.1271,0.0,0.2,105,0.5096,ldn_Latn,,,,0,0,0.0,isolated_tail
hop_Latn,Latn,11019,4.042,2.8578,0.095,0.2,45,0.8709,kas_Latn,1.1199,ayr_Latn,0.1102,13,0,0.0,mid
hot_Latn,Latn,23745,4.376,2.7942,-0.794,0.2,10,0.9511,eto_Latn,1.1386,buk_Latn,0.9864,6,0,0.0,head
hra_Latn,Latn,30616,4.486,2.8662,0.213,0.2,64,0.387,biu_Latn,0.5776,hmr_Latn,0.4981,26,0,0.0,head
hrx_Latn,Latn,38051,4.58,2.863,0.168,0.2,123,0.7287,ksh_Latn,0.7876,gsw_Latn,0.4069,41,1,0.024,head
hsb_Latn,Latn,28261,4.451,2.9274,1.07,0.2,194,0.1632,dsb_Latn,0.4513,szl_Latn,0.5101,22,7,0.304,head
hto_Latn,Latn,17753,4.249,2.8152,-0.501,0.2,17,0.5458,huu_Latn,0.5458,huu_Latn,0.7361,18,1,0.053,mid
hub_Latn,Latn,23928,4.379,2.8734,0.314,0.2,40,0.3428,acu_Latn,0.3428,acu_Latn,0.9761,17,0,0.0,head
hui_Latn,Latn,64883,4.812,2.8108,-0.562,0.2,0,1.0691,sby_Latn,1.2357,kin_Latn,0.6488,12,0,0.0,head
hun_Hung,Hung,11832,4.073,2.6491,0.0,0.2,0,1.0712,lad_Hebr,,,,2,0,0.0,mid
hun_Latn,Latn,100000,5.0,2.8914,0.566,0.2,102,0.7809,nov_Latn,,,,3561,5,0.001,head
hus_Latn,Latn,57511,4.76,2.8836,0.456,0.2,24,0.8914,quc_Latn,0.8914,quc_Latn,0.5751,38,0,0.0,head
huu_Latn,Latn,24119,4.382,2.7902,-0.851,0.2,7,0.5458,hto_Latn,1.2083,arg_Latn,0.9307,5,0,0.0,head
huv_Latn,Latn,20043,4.302,2.8259,-0.351,0.2,25,0.929,zpj_Latn,1.1657,arg_Latn,0.7734,13,0,0.0,head
hvn_Latn,Latn,13972,4.145,2.8523,0.019,0.2,64,0.8228,wew_Latn,0.9086,nfa_Latn,0.815,20,0,0.0,mid
hwc_Latn,Latn,10591,4.025,2.8346,-0.229,0.2,53,0.6427,pcm_Latn,0.6427,pcm_Latn,0.3184,9,6,0.6,mid
hye_Armn,Armn,100000,5.0,2.6281,0.0,0.2,1,0.1085,hyw_Armn,,,,1218,15,0.012,twin
hyw_Armn,Armn,100000,5.0,2.585,0.0,0.2,1,0.1085,hye_Armn,,,,564,29,0.051,twin
ian_Latn,Latn,30210,4.48,2.758,-1.3,0.2,0,1.0296,diu_Latn,1.3025,swh_Latn,0.3021,2,0,0.0,head
iba_Latn,Latn,100000,5.0,2.8834,0.454,0.2,67,0.7025,bjn_Latn,,,,159,0,0.0,head
ibg_Latn,Latn,97484,4.989,2.9509,1.399,0.2,150,0.6174,itv_Latn,0.7801,bcl_Latn,0.9748,87,4,0.045,head
ibo_Latn,Latn,100000,5.0,2.8667,0.22,0.2,29,0.7152,ikk_Latn,,,,470,1,0.002,head
icr_Latn,Latn,17695,4.248,2.8339,-0.239,0.2,46,0.4556,jam_Latn,0.4556,jam_Latn,0.548,11,0,0.0,mid
ido_Latn,Latn,33665,4.527,2.9195,0.958,0.2,200,0.4704,nov_Latn,0.5893,epo_Latn,0.3367,33,52,1.529,head
idu_Latn,Latn,59832,4.777,2.8061,-0.627,0.2,7,0.9304,mev_Latn,1.0106,ada_Latn,0.5983,62,0,0.0,head
ifa_Latn,Latn,57138,4.757,2.9248,1.033,0.2,34,0.3224,ifb_Latn,1.0068,sun_Latn,0.5714,46,0,0.0,head
ifb_Latn,Latn,33099,4.52,2.9238,1.02,0.2,60,0.3224,ifa_Latn,0.3224,ifa_Latn,0.5793,33,0,0.0,head
ife_Latn,Latn,17731,4.249,2.8134,-0.526,0.2,6,0.9382,bsq_Latn,1.0291,yor_Latn,0.1773,19,0,0.0,mid
ifk_Latn,Latn,17387,4.24,2.9409,1.259,0.2,94,0.3992,ifa_Latn,0.3992,ifa_Latn,0.3043,12,1,0.077,mid
ifu_Latn,Latn,17672,4.247,2.8614,0.147,0.2,48,0.8193,kak_Latn,0.8615,ifb_Latn,0.5339,15,0,0.0,mid
ify_Latn,Latn,55082,4.741,2.9174,0.93,0.2,46,0.7009,kak_Latn,0.8468,ifa_Latn,0.964,48,0,0.0,head
ige_Latn,Latn,63586,4.803,2.7627,-1.235,0.2,6,0.8193,ikk_Latn,0.9122,ibo_Latn,0.6359,65,0,0.0,head
ign_Latn,Latn,28193,4.45,2.8061,-0.628,0.2,3,0.9542,trn_Latn,1.069,tar_Latn,0.6033,19,0,0.0,head
ike_Cans,Cans,30725,4.488,2.6399,-1.004,0.2,3,0.8717,crm_Cans,1.0228,ojb_Cans,0.9112,29,0,0.0,head
