lang,N,category,support,f1_baseline,f1_freq_prior,f1_learned_bias,f1_floor21,f1_margin_q5,f1_margin_q5_head,f1_gt_margin_adaptive
mco_Latn,100000,head,35407,0.9974094364462565,0.9974662759919033,0.9974235560588902,0.9973394469446095,0.9974094364462565,0.9974094364462565,0.9969444915973519
mcp_Latn,22044,head,2743,0.9848708487084871,0.9854270429809998,0.9874723655121592,0.9839631336405531,0.9850581073602656,0.9852452969383991,0.9811250925240563
mcq_Latn,31265,head,2233,0.9986577181208053,0.9984343547304854,0.998881181472365,0.998881181472365,0.9986577181208053,0.9986577181208053,0.998881181472365
mcu_Latn,13492,mid,2146,0.99930151338766,0.999534233814625,0.9997670626601444,0.99930151338766,0.99930151338766,0.99930151338766,0.999067599067599
mda_Latn,17774,mid,1570,1.0,1.0,1.0,1.0,1.0,1.0,0.9996814272061166
mdf_Cyrl,16365,mid,2670,0.42145161290322586,0.48347567768288147,0.7256216820340877,0.41963782696177065,0.41981851762627476,0.42145161290322586,0.45192641443943066
mdy_Ethi,67085,head,9817,0.9997962510187449,0.9997962510187449,0.9997962510187449,0.9997962510187449,0.9997962510187449,0.9997962510187449,0.9997962302598065
med_Latn,23245,head,2539,0.9992122883024813,0.9992122883024813,0.9992122883024813,0.9992122883024813,0.9992122883024813,0.9992122883024813,0.9992122883024813
mee_Latn,24514,head,1205,0.9966887417218543,0.9971014492753623,0.9971014492753623,0.9971014492753623,0.9966887417218543,0.9966887417218543,0.9971014492753623
mej_Latn,13341,mid,2142,0.999066728884741,0.9992998833138856,0.999066728884741,0.998833683228365,0.999066728884741,0.999066728884741,0.9974269005847953
mek_Latn,24096,head,2569,0.9996108949416342,0.9994164559424237,0.9996108949416342,0.9996108949416342,0.9996108949416342,0.9996108949416342,0.9996108949416342
men_Latn,16422,mid,2672,0.9968170754540348,0.9964439453490549,0.9968170754540348,0.9962546816479401,0.9966304754773493,0.9968170754540348,0.9956856124554493
meq_Latn,17804,mid,1877,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984
mer_Latn,3326,mid,372,0.5039826212889211,0.5764119601328903,0.527355623100304,0.5466034755134281,0.5036179450072358,0.5039826212889211,0.7699642431466031
met_Latn,6728,mid,969,0.9918116683725691,0.9948665297741274,0.9923195084485407,0.9943560800410467,0.9918116683725691,0.9918116683725691,0.9864300626304802
meu_Latn,100000,head,22898,0.9179398461762929,0.9176103247293922,0.9340556219075243,0.915412752514756,0.9179501073296793,0.9178995624088351,0.9156756532386943
mev_Latn,277,flat_magnet,12,0.10859728506787329,0.18604651162790695,0.1,0.6153846153846153,0.4444444444444445,0.2641509433962264,0.044362292051756014
mfe_Latn,100000,head,65895,0.9777679138573626,0.9772638630784408,0.9786599585585724,0.9769404856566152,0.9777080543332697,0.9776930905974273,0.9765441153998962
mfg_Latn,1598,mid,91,0.9099999999999999,0.9479166666666667,0.9191919191919192,0.9528795811518325,0.9099999999999999,0.9099999999999999,0.967391304347826
mfh_Latn,13516,mid,2174,0.9988503104161877,0.9988503104161877,0.9990800367985281,0.9988503104161877,0.9988503104161877,0.9988503104161877,0.9990796134376437
mfi_Latn,17796,mid,2910,0.9984559958826558,0.9989701338825953,0.9991416309012876,0.9984554659344431,0.9984559958826558,0.9984559958826558,0.9996562392574768
mfk_Latn,17787,mid,1503,0.9956882255389718,0.9963491536674411,0.9956882255389718,0.9956882255389718,0.9956882255389718,0.9956882255389718,0.9986693280106453
mfq_Latn,21554,head,3558,0.9949480774628122,0.9952274003368894,0.9945293870108011,0.9955030916245081,0.9949480774628122,0.9949480774628122,0.9953632148377125
mfy_Latn,19912,head,1879,0.9858854860186418,0.9866737739872069,0.9885180240320428,0.9853762297261367,0.9856230031948883,0.9850984566258648,0.9856153436334576
mfz_Latn,13402,mid,2148,0.9993021632937892,0.9993021632937892,0.9990697674418605,0.9993021632937892,0.9988374796558941,0.9993021632937892,0.9979016087666122
mgc_Latn,5026,mid,684,0.9963583394027676,0.9978118161925601,0.9970845481049563,0.9985401459854015,0.9963583394027676,0.9963583394027676,0.9992684711046086
mgh_Latn,78930,head,12121,0.9878301183872837,0.9875093059806436,0.9884438553618026,0.9877084799072964,0.9878301183872837,0.9877493584968132,0.9874466586568339
mgm_Latn,179,flat_magnet,8,0.32,0.608695652173913,0.32,0.875,0.2424242424242424,0.32,0.05423728813559322
mgo_Latn,11133,mid,653,0.9938366718027736,0.9938366718027736,0.9938366718027736,0.9953846153846153,0.9938366718027736,0.9938366718027736,0.9930609097918273
mgr_Latn,100000,head,24864,0.980031529164477,0.9803715882269876,0.9814018295268674,0.9790305947060846,0.980031529164477,0.980012530062044,0.977947259044045
mhi_Latn,13542,mid,2162,0.993794529993105,0.9947089947089947,0.9944802207911683,0.9944802207911683,0.9935661764705882,0.993794529993105,0.9960693641618498
mhl_Latn,17037,mid,1413,0.9961226647867466,0.9971771347918136,0.9961226647867466,0.9968209113387496,0.9961226647867466,0.9961226647867466,0.9985835694050992
