lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
nii_Latn,30695,False,0.9974683544303797,1,0.9974683544303797,1,0.9974683544303797,1,593
nij_Latn,13418,False,0.9820267686424474,46,0.9857965451055664,36,0.9921996879875196,7,1285
nim_Latn,17845,False,0.9879391714735186,21,0.991578947368421,14,0.9957582184517496,3,944
nin_Latn,24556,False,0.9928605425987624,15,0.9923809523809524,15,0.9923809523809524,15,1043
nio_Cyrl,90,False,0.0898876404494382,81,1.0,0,1.0,0,4
niq_Latn,30088,False,0.9845540607872446,76,0.9845489283934209,75,0.9845489283934209,75,2981
niu_Latn,100000,False,0.9924297480620154,388,0.9932326808064305,389,0.993479991535074,417,49523
niy_Latn,11062,False,0.9881347887992405,25,0.9909566872917659,19,0.9909566872917659,19,1041
njb_Latn,10983,False,0.9936492427943332,10,0.9955947136563876,6,0.9965669445806767,3,1020
njm_Latn,30730,False,0.9933014354066987,26,0.9926658163265306,29,0.9926658163265306,29,3130
njn_Latn,29912,False,0.9900602900439954,43,0.9900538072721344,41,0.9900538072721344,41,3056
njo_Latn,30731,False,0.9912959381044487,45,0.9920954992740764,40,0.9920954992740764,40,3084
njz_Latn,11038,False,0.9930898321816387,13,0.9935802469135803,12,0.9965260545905706,4,1007
nkf_Latn,6762,False,0.9835497835497835,18,0.9938757655293088,6,0.9982425307557118,1,569
nki_Latn,11061,False,0.9127640036730945,151,0.9180934752429432,136,0.9197960129809921,132,1033
nko_Latn,17654,False,1.0,0,0.9994372537985369,1,0.9994372537985369,1,888
nla_Latn,233,False,0.029585798816568046,328,1.0,0,1.0,0,5
nlc_Latn,13403,False,0.9932991722506899,17,0.9932991722506899,17,0.9980182322631789,4,1260
nld_Latn,100000,False,0.9593014917290734,3485,0.9627438422330744,3971,0.9672881086241645,4695,384720
nlg_Latn,16692,False,0.9792038027332146,31,0.9815366289458011,27,0.9927184466019418,2,828
nma_Latn,11038,False,0.9934272300469483,14,0.9948283968030089,11,0.9990557129367328,2,1058
nmf_Latn,30733,False,0.9877931256023129,69,0.9868421052631579,75,0.9868421052631579,75,3082
nmh_Latn,11056,False,0.994263862332696,12,0.9952153110047847,10,0.9985583853916387,2,1040
nmo_Latn,11055,False,0.9877121123464014,20,0.9917743830787309,13,0.9958604376108812,4,845
nmw_Latn,3113,False,0.6373626373626373,33,0.8405797101449275,11,0.9354838709677419,4,29
nmz_Latn,13452,False,0.9977595220313666,5,0.9970149253731343,7,0.9985041136873598,2,1337
nnb_Latn,83880,False,0.8847037793667006,275,0.886685732443597,299,0.886685732443597,299,8460
nng_Latn,11050,False,0.992626728110599,16,0.9949191685912241,11,0.9981429897864438,2,1077
nnh_Latn,10903,False,0.9980582524271845,4,0.997090203685742,6,0.9990281827016522,2,1028
nnl_Latn,29935,False,0.9895539711490632,42,0.9884067572043723,49,0.9884067572043723,49,3005
nno_Latn,100000,False,0.8710585825830951,10774,0.8640736712042327,11637,0.8602658602658603,12129,42144
nnp_Latn,11050,False,0.994754411063424,9,0.9957040572792363,7,0.9971291866028709,3,1045
nnq_Latn,17827,False,0.9232354456465739,147,0.9347939488784559,123,0.9406824146981626,111,898
nnw_Latn,17675,False,1.0,0,1.0,0,1.0,0,1711
noa_Latn,35324,False,0.996703018006594,4,0.9972116603295311,4,0.9972116603295311,4,1974
nob_Latn,100000,False,0.9520263596518304,13028,0.9511507006865995,13170,0.9510917367487077,13308,258590
nod_Thai,11038,False,0.4513432835820895,1838,0.45873786407766987,1784,0.6631578947368421,768,756
nog_Cyrl,19172,False,0.8889819857561793,254,0.8947145877378436,235,0.8947145877378436,235,1072
non_Latn,502,False,0.034482758620689655,443,0.45161290322580644,11,0.5217391304347826,4,13
nop_Latn,31774,False,0.9971671388101984,6,0.9964614295824487,8,0.9964614295824487,8,1410
not_Latn,24235,False,0.9938176197836167,8,0.9961270333075135,5,0.9961270333075135,5,643
nou_Latn,30588,False,0.9939498703543648,5,0.9939498703543648,5,0.9939498703543648,5,577
nov_Latn,1813,False,0.052246603970741906,2714,0.1316501352569883,954,0.31746031746031744,289,82
nph_Latn,11061,False,0.9956118966357874,9,0.9960975609756098,8,0.9985330073349633,3,1021
npi_Deva,100000,False,0.9511733385919937,451,0.951731746719729,462,0.9535302663438255,870,26142
npi_Latn,359,False,0.0462046204620462,288,0.42424242424242425,18,0.7000000000000001,5,8
npl_Latn,24576,False,0.8002270147559591,690,0.8051428571428572,667,0.8051428571428572,667,1424
npo_Latn,11061,False,0.99578848853533,9,0.9971883786316776,6,0.9990610328638497,2,1064
npy_Latn,13254,False,0.9839228295819935,39,0.9870967741935482,31,0.9955156950672646,7,1225
nqo_Nkoo,8471,False,1.0,0,1.0,0,1.0,0,713
nre_Latn,30002,False,0.9922659206845484,28,0.9921026653504443,29,0.9921026653504443,29,3034
nrf_Latn,6460,False,0.39448173005219983,1616,0.44481745698699116,1316,0.9573283858998145,25,537
nri_Latn,11054,False,0.9700874367234239,62,0.9772832637923041,46,0.9952785646836638,7,1057
nsa_Latn,11044,False,0.9962721342031687,8,0.9972014925373134,6,0.9985987856141989,3,1069
nse_Latn,93386,False,0.8125752508361205,3874,0.8018611184268283,4208,0.8018611184268283,4208,9440
nsm_Latn,29995,False,0.9911678115799802,31,0.9916516614830578,27,0.9916516614830578,27,3053
nsn_Latn,24366,False,0.982919254658385,21,0.9844236760124611,18,0.9844236760124611,18,634
nso_Latn,100000,False,0.9872699879809727,933,0.9874514271534197,994,0.987468318386472,1031,178542
nss_Latn,5620,False,0.9098039215686274,23,0.9508196721311475,12,0.983050847457627,4,116
nst_Latn,30606,False,0.9872715404699739,30,0.9887420460107685,26,0.9887420460107685,26,3073
nsu_Latn,17790,False,0.9528688524590163,83,0.9542886492039034,79,0.9687174139728885,50,939
ntp_Latn,17357,False,0.998324958123953,3,0.998324958123953,3,1.0,0,894
ntr_Latn,17764,False,0.9968198901416594,9,0.9968198901416594,9,0.998262883613202,4,1726
ntu_Latn,12626,False,0.988235294117647,10,0.9929078014184397,6,0.996415770609319,0,420
nuj_Latn,8313,False,0.9283408650742415,99,0.9386422976501305,82,0.9735376044568245,6,731
nus_Latn,14391,False,0.995253742241694,9,0.9945235487404163,10,0.9959692194943203,3,1367
nuy_Latn,11270,False,0.9995376791493296,1,0.9990749306197965,1,0.999074074074074,0,1081
nuz_Latn,1598,False,0.3868312757201646,148,0.5251396648044693,84,0.9387755102040817,4,48
nvm_Latn,22498,False,0.9928952042628775,8,0.9928952042628775,8,0.9928952042628775,8,559
nwb_Latn,13165,False,0.9980476376415464,5,0.9980476376415464,5,0.999608916699257,1,1278
nwi_Latn,17294,False,0.9962756052141527,7,0.9962756052141527,7,0.9976689976689976,4,1071
nwx_Deva,16773,False,0.9754619812178129,73,0.9751364463311097,72,0.9846248462484624,33,1618
nxd_Latn,11061,False,0.9875717017208413,24,0.9913627639155471,16,0.995159728944821,3,1035
nya_Latn,100000,False,0.9710630601292491,1022,0.9713804491703937,1116,0.9724760570678306,1208,232789
nyf_Latn,13672,False,0.9222222222222223,211,0.925977653631285,197,0.9799703264094956,34,1341
nyk_Latn,100000,False,0.9847567981616239,247,0.9843636502657033,305,0.9836203275934482,359,26261
nyn_Latn,100000,False,0.9149383542005161,715,0.9145229800028636,753,0.9118801115680991,1026,21991
nyo_Latn,13528,False,0.6623235613463627,1218,0.6716417910447761,1157,0.7389162561576355,802,1246
nyu_Latn,100000,False,0.9190464365532655,1881,0.9177146741649415,1982,0.9135286342258153,2141,15531
nyy_Latn,99263,False,0.9764734895191121,216,0.9733202550269741,307,0.9733202550269741,307,10160
nza_Latn,4301,False,0.957787481804949,29,0.9894736842105264,7,0.9939577039274925,4,329
nzi_Latn,100000,False,0.9962679988245666,54,0.9971236535470048,66,0.997070627178721,134,34103
nzm_Latn,30721,False,0.9956374212312167,16,0.9954780361757106,18,0.9954780361757106,18,3092
obo_Latn,17566,False,0.9949748743718593,12,0.9958088851634534,10,0.9987389659520807,3,1188
oci_Latn,100000,False,0.9318719267294772,1416,0.919070660805969,1820,0.9004110478113507,2436,12812
ogo_Latn,49629,False,0.9963114345528861,14,0.9949268874962698,32,0.9949268874962698,32,5020
ojb_Cans,33721,False,0.9855577689243028,42,0.9838348669485203,48,0.9838348669485203,48,1995
ojb_Latn,26541,False,0.9947877885331347,23,0.9947897283215482,24,0.9947897283215482,24,2677
oke_Latn,51037,False,0.9755676918654786,180,0.9749640287769784,177,0.9749640287769784,177,5166
oku_Latn,6760,False,0.9974683544303797,3,0.9983108108108107,2,1.0,0,591
okv_Latn,24041,False,0.9943181818181819,6,0.9933774834437086,7,0.9933774834437086,7,525
old_Latn,13531,False,0.9734448890505638,63,0.9752005835156821,57,0.9881569207994079,19,1348
olo_Latn,8012,False,0.48451854372235453,1512,0.5237219566016919,1292,0.8921694480102697,148,715
omb_Latn,4266,False,0.9726247987117552,17,0.9885433715220949,7,0.9950576606260296,3,302
omw_Latn,27268,False,0.9958115183246073,6,0.9963331587218438,5,0.9963331587218438,5,953
ong_Latn,31080,False,0.9956024626209323,5,0.9964788732394366,4,0.9964788732394366,4,566
ons_Latn,24539,False,0.9986910994764397,6,0.998473282442748,7,0.998473282442748,7,2289
ood_Latn,16954,False,0.996645318694724,8,0.9972535855965822,6,0.9987775061124695,1,1637
opm_Latn,23755,False,0.9936204146730463,8,0.9968,4,0.9968,4,623
orv_Cyrl,27832,False,0.7230087230087229,1691,0.7230879199428162,1692,0.7230879199428162,1692,2774
ory_Latn,435,False,0.06250000000000001,238,0.5185185185185185,10,0.6666666666666666,4,10
ory_Orya,100000,False,0.9996095427745891,3,0.9995900279171467,4,0.9996098017793039,20,25618
oss_Cyrl,100000,False,0.9983306999455468,7,0.9982681354782267,8,0.9983218780683745,11,56098
ota_Arab,674,False,0.1981981981981982,83,0.3018867924528302,28,0.39024390243902435,16,17
otd_Latn,6719,False,0.9610182975338107,47,0.9749798224374494,29,0.9934102141680395,5,606
ote_Latn,56504,False,0.9876477854243868,21,0.9869580542826929,32,0.9869580542826929,32,5716
otm_Latn,17662,False,0.997874601487779,4,0.997874601487779,4,0.997874601487779,4,939
otn_Latn,17786,False,0.9915343915343915,14,0.9915343915343915,14,0.9920592906299629,13,939
oto_Latn,4664,False,0.7971188475390156,140,0.8939597315436243,51,0.9100968188105117,33,361
otq_Latn,17800,False,0.9988419224088014,4,0.999131190269331,3,0.9994206257242179,2,1725
ots_Latn,21473,False,0.9600319744204636,4,0.9687128712871288,5,0.9687128712871288,5,1297
otw_Latn,85,False,0.03973509933774835,145,0.8,0,0.8,0,3
oym_Latn,10692,False,0.9979529170931423,4,0.9979529170931423,4,0.9994874423372629,1,975
ozm_Latn,13451,False,1.0,0,0.998021369212505,5,0.9988118811881188,3,1261
pab_Latn,17824,False,0.9948186528497409,10,0.995850622406639,8,0.9989572471324296,0,960
pad_Latn,24093,False,0.9852700490998363,18,0.9860769860769861,17,0.9860769860769861,17,602
pag_Latn,100000,False,0.9920372097958677,442,0.9919215845714638,508,0.9919545251934136,658,113547
pah_Latn,17258,False,0.9939659901261656,11,0.9956043956043955,8,0.9988974641675854,2,906
pam_Latn,34170,False,0.9359560841720036,205,0.9251639158941894,256,0.9251639158941894,256,2121
pan_Guru,100000,False,0.9999483832909338,0,0.999977879205716,0,0.999977879205716,0,67811
pan_Latn,4064,False,0.5381818181818182,492,0.6022610483042138,368,0.7018404907975461,217,312
pao_Latn,15679,False,0.9969522519471723,9,0.9972881355932204,7,0.99830220713073,3,1472
pap_Latn,100000,False,0.9922133804472497,335,0.9922856481728698,409,0.9922789539227895,483,141127
pau_Latn,100000,False,0.9984048916655589,33,0.9979401993355481,44,0.997277556440903,64,15037
pbb_Latn,17747,False,0.9970930232558141,9,0.996803254867771,10,0.9982527664531159,4,1716
pbc_Latn,13500,False,0.9972836631742336,7,0.9965075669383004,8,0.9980552314274601,3,1285
pbi_Latn,13371,False,0.999623352165725,0,0.9988709070380127,2,0.9992469879518072,1,1328
pbt_Arab,80648,False,0.9595712454852616,558,0.9588690441561464,576,0.9588690441561464,576,8372
pcd_Latn,2213,False,0.06778451658936853,2609,0.1211708645336964,1281,0.4356955380577428,199,99
pck_Latn,37494,False,0.9435102469784551,221,0.9418267965254015,220,0.9418267965254015,220,3800
pcm_Latn,33265,False,0.6667530784186649,1820,0.6395147313691508,2172,0.6395147313691508,2172,3323
pdc_Latn,13498,False,0.9776558212465699,44,0.9772191673212883,42,0.987585102122547,4,1260
pdt_Latn,100000,False,0.9718858437787692,705,0.9722320606361124,696,0.9707234283289724,742,13813
pem_Latn,8343,False,0.8629563135846797,226,0.8795107033639145,192,0.9778393351800554,14,724
pfe_Latn,15290,False,0.9989969909729188,3,0.9989969909729188,3,0.9993311036789299,2,1494
