lang,n_scoreable,n_self_won,tau,excluded,cause
kmg_Latn,2000,1998,55.95795352783203,False,
kmk_Latn,2000,1994,9.062303092214796,False,
kmr_Cyrl,2000,2000,63.69565804053413,False,
kmy_Latn,2000,1990,3.3386953414916993,False,
knc_Arab,2000,1871,45.09268459743924,False,
knc_Latn,2000,1952,3.110892675187853,False,
kne_Latn,2000,1999,2.70786474609375,False,
knk_Latn,2000,1998,14.272324920972189,False,
kno_Latn,2000,2000,45.11697823651632,False,
knx_Latn,351,346,18.276811597824096,False,
kny_Latn,2000,1982,33.748898189926145,False,
kog_Latn,2000,2000,34.2721170581182,False,
koi_Cyrl,2000,1785,0.66096881137424,False,
kpj_Latn,2000,1999,22.703131383895872,False,
kpq_Latn,2000,1997,57.45374109429253,False,
kpz_Latn,2000,2000,34.61810411154429,False,
kqa_Latn,889,889,67.62695931803385,False,
kqe_Latn,2000,1998,0.38671749216715673,False,
kqf_Latn,2000,2000,34.797382188161215,False,
kql_Latn,1133,1133,66.58379994328817,False,
kqo_Latn,2000,2000,98.35860787853665,False,
kqp_Latn,2000,1999,10.60080728683468,False,
kqs_Latn,2000,2000,38.25453195419311,False,
kqw_Latn,2000,2000,29.62782262149387,False,
kqy_Ethi,2000,1998,14.307264492882624,False,
krj_Latn,2000,1994,0.7657637914021784,False,
krl_Latn,2000,1868,5.126030851289961,False,
kru_Deva,2000,1999,9.189613769531249,False,
krx_Latn,970,970,40.98648572858175,False,
ksb_Latn,2000,2000,12.131950087822808,False,
ksc_Latn,2000,2000,24.509073516019185,False,
ksf_Latn,2000,1988,50.10775881508721,False,
ksh_Latn,2000,1956,2.450959930419922,False,
ksj_Latn,2000,2000,53.92882230529785,False,
ksp_Latn,2000,2000,36.56198965115017,False,
ktb_Ethi,2000,1998,10.599375930277507,False,
ktj_Latn,2000,2000,5.157996407318124,False,
ktm_Latn,2000,1996,35.293338569323225,False,
ktz_Latn,357,357,65.95789746958415,False,
kub_Latn,2000,1996,7.492549931208285,False,
kuj_Latn,2000,1999,38.34794895553589,False,
kum_Cyrl,2000,1982,6.285952940495808,False,
kus_Latn,2000,1999,24.54362849121094,False,
kvg_Latn,2000,2000,80.07157305636936,False,
kvj_Latn,2000,2000,48.16392580742306,False,
kvn_Latn,2000,1999,24.284238996887208,False,
kwd_Latn,2000,2000,16.396540211995433,False,
kwi_Latn,2000,2000,7.749664292229555,False,
kxc_Ethi,2000,1999,16.803610509490966,False,
kxm_Thai,2000,2000,62.29293411288791,False,
kxw_Latn,2000,2000,68.67834919230144,False,
kyf_Latn,2000,2000,17.513273480818,False,
kyu_Kali,2000,2000,164.4676419898139,False,
kyu_Latn,2000,1990,120.36864089889526,False,
kyu_Mymr,2000,2000,110.6581747446696,False,
kyz_Latn,2000,2000,38.284149169921875,False,
kzf_Latn,2000,1999,16.331595153808593,False,
kzj_Latn,2000,1977,3.9663976338704425,False,
kzn_Latn,2000,1545,3.3825692070855036,False,
lac_Latn,2000,2000,18.268326946428072,False,
lad_Hebr,171,64,-inf,True,low_calibration
lad_Latn,2000,1896,2.3796193250020345,False,
lai_Latn,2000,1999,15.516575051116943,False,
lap_Latn,2000,2000,50.80349669831594,False,
las_Latn,2000,1998,26.234178005981445,False,
law_Latn,2000,2000,76.38805786132814,False,
lbb_Latn,1700,1700,40.80975341796875,False,
lbe_Cyrl,182,180,-inf,True,low_calibration
lbj_Tibt,2000,1998,118.05467372131348,False,
lbk_Latn,2000,1996,3.750182215372723,False,
lcp_Thai,2000,2000,83.43590856297811,False,
ldn_Latn,106,101,-inf,True,low_calibration
lea_Latn,2000,1962,6.02796817296346,False,
led_Latn,2000,2000,34.819044680107964,False,
lee_Latn,2000,2000,30.617598833953004,False,
lef_Latn,2000,1998,45.51555086093479,False,
lem_Latn,2000,2000,19.881258136749267,False,
lew_Latn,2000,1998,15.154087687301635,False,
