lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
sue_Latn,24412,False,0.9899959983993597,24,0.9911858974358976,21,0.9911858974358976,21,1238
suk_Latn,22242,False,0.9725022914757104,152,0.9742804654011022,139,0.9742804654011022,139,3211
sun_Latn,100000,False,0.9558214126846627,962,0.9488790485243317,1331,0.9349074809853558,2118,21338
sur_Latn,13529,False,0.9985272459499265,6,0.9985272459499265,6,0.9985253844533388,3,2374
sus_Arab,30707,False,0.9994317536083647,4,0.9995453512161855,3,0.9995453512161855,3,4398
sus_Latn,21057,False,0.985178727114211,19,0.9860444832097689,16,0.9860444832097689,16,2309
suz_Deva,57138,False,0.9928463039236939,53,0.9924640824071563,53,0.9924640824071563,53,9239
swb_Latn,1096,False,0.4855643044619422,389,0.9462915601023018,18,0.975609756097561,1,188
swc_Latn,100000,False,0.8775260578864033,8219,0.8783944923166919,8206,0.8779108474652344,8429,66572
swe_Latn,100000,False,0.9770539380807887,5982,0.9780417005324531,6679,0.9784004099857019,7539,609429
swg_Latn,8406,False,0.8352788586251622,323,0.852960745176314,251,0.8892819243013795,97,1473
swh_Latn,100000,False,0.9010415315235836,10346,0.8997603008637435,10953,0.8987998602577013,11634,95537
swk_Latn,6577,False,0.6272479564032697,1366,0.670160116448326,1131,0.8984216916228247,208,1153
swp_Latn,25881,False,0.9853853853853854,65,0.98676293622142,57,0.98676293622142,57,2469
sxb_Latn,17789,False,0.9781312127236581,106,0.9800796812749004,96,0.9951436665317686,19,2464
sxn_Latn,49827,False,0.9941298342541438,47,0.9937287843047006,53,0.9937287843047006,53,8692
syb_Latn,10836,False,0.9923462655054104,29,0.993391488236849,24,0.997344662772172,8,1880
syc_Syrc,7103,True,0.9713837710701686,73,0.9713837710701686,73,0.9713837710701686,73,1239
syl_Beng,4163,False,0.7550702028081123,468,0.7841648590021693,392,0.9651810584958218,14,729
syl_Latn,8549,False,0.9063444108761329,309,0.9557183816502071,138,0.9923815833057305,20,1501
syl_Sylo,3570,False,1.0,0,0.9989462592202318,1,0.9989462592202318,1,474
szb_Latn,6749,False,0.9937054133445237,14,0.9970526315789473,6,0.99915611814346,1,1185
szl_Latn,55404,False,0.7082646142569178,6167,0.6842081988236853,6946,0.6842081988236853,6946,7931
szy_Latn,2536,False,0.8963855421686746,83,0.9335006273525721,50,0.9906542056074765,3,375
tab_Cyrl,17650,False,0.9801462904911181,110,0.9796273724534216,112,0.9924148879872994,38,2818
tac_Latn,20618,False,0.9871011541072642,38,0.9877495462794917,31,0.9877495462794917,31,2200
tah_Latn,100000,False,0.996089265003293,101,0.9971414598931104,108,0.9973898696680741,130,172149
taj_Deva,17753,False,0.9904363419007771,30,0.9904363419007771,30,0.993993993993994,16,1659
tam_Latn,4081,False,0.7702005730659026,362,0.8292079207920792,235,0.9177608845888043,72,711
tam_Taml,100000,False,0.9999368796452636,1,0.9999546330504144,1,0.9999566056120779,1,253499
tap_Latn,6921,False,0.7957204948177867,594,0.8456614509246089,416,0.9691853102574925,14,1207
taq_Latn,27347,False,0.9080318135991935,142,0.9079781907199288,175,0.9079781907199288,175,4732
taq_Tfng,4245,False,0.9979906229068988,3,0.9979906229068988,3,0.9979906229068988,3,745
tar_Latn,46732,False,0.9772965985295307,90,0.9775661717236928,96,0.9775661717236928,96,6239
tat_Cyrl,100000,False,0.9714276365837498,1787,0.9708661674786646,1863,0.9697662083316332,2040,61085
tat_Latn,885,False,0.2775665399239544,750,0.6012526096033403,179,0.8925081433224756,14,156
tav_Latn,17136,False,0.9901873327386262,33,0.9913664781184877,29,0.9916567342073896,27,1665
taw_Latn,17319,False,0.9591203834226107,143,0.9736540664375716,89,0.97393297049556,88,1703
tay_Latn,743,False,0.67012987012987,126,0.8403908794788274,48,0.9652509652509652,4,130
tbc_Latn,24280,False,0.9928166351606805,19,0.9931869795609387,17,0.9931869795609387,17,1313
tbg_Latn,44840,False,0.9958283671036949,20,0.9957269204014707,18,0.9957269204014707,18,5035
tbk_Latn,10680,False,0.9904306220095693,33,0.9906939643711778,32,0.9978563772775991,4,1866
tbl_Latn,11846,False,0.9973538609574212,11,0.9987954709708504,5,0.999276585483482,2,2073
tbo_Latn,24484,False,0.9890577507598783,29,0.9908592321755026,22,0.9908592321755026,22,1634
tbw_Latn,4287,False,0.9797517962116264,31,0.9861932938856015,21,0.9973368841544608,3,750
tby_Latn,13422,False,0.9934419293420774,31,0.9947045117559838,25,0.9987228607918264,4,2348
tbz_Latn,52480,False,0.9996710526315791,1,0.9996710526315791,1,0.9996710526315791,1,9122
tca_Latn,17326,False,0.9994587768356485,2,0.9990982867448153,4,0.9996391194514616,1,2771
tcc_Latn,17823,False,0.9918660287081339,34,0.9930538922155688,29,0.9975915221579962,8,2073
tcf_Latn,100000,False,0.9978657301094151,35,0.9979200994030415,37,0.9971659154093229,65,18512
tcs_Latn,22712,False,0.9835430784123911,53,0.9837019790454016,47,0.9837019790454016,47,2572
tcy_Knda,8457,False,0.7034448327508735,1112,0.7192802056555269,1006,0.7952088810984517,577,1485
tcz_Latn,68634,False,0.9883210469643005,205,0.9873009307135471,232,0.9873009307135471,232,12009
tdx_Latn,55963,False,0.9876480195998366,175,0.9858896643064541,212,0.9858896643064541,212,9742
ted_Latn,17646,False,0.9955581877405981,10,0.9955581877405981,10,0.9958530805687204,9,1686
tee_Latn,17807,False,0.9985565356856456,9,0.9985560725172469,8,0.9993577392421323,3,3113
tel_Latn,4040,False,0.5656208572691118,916,0.6621409921671019,574,0.806201550387597,217,707
tel_Telu,100000,False,0.999355758155516,1,0.9994680721274676,1,0.9997366727134415,50,102511
tem_Latn,13526,False,0.997897392767031,7,0.9983172065628945,5,0.9983143699957859,1,2376
teo_Latn,41825,False,0.9892235016238559,104,0.9894488305172287,105,0.9894488305172287,105,6743
ter_Latn,17895,False,0.9926786165109821,28,0.9931766489764974,25,0.9969558599695585,10,1967
tet_Latn,100000,False,0.994226400150072,152,0.9948701573660791,170,0.9947279336274591,229,72229
tew_Latn,10834,False,0.9995324918186068,1,0.9990654205607477,2,1.0,0,1069
tfr_Latn,17084,False,0.9962686567164178,14,0.9969450101832993,10,0.998470168281489,1,2945
tgk_Cyrl,100000,False,0.9897032258064515,504,0.9896556171804463,521,0.9880048392494014,670,38645
tgo_Latn,24717,False,0.9908952959028832,22,0.9920243068742879,19,0.9920243068742879,19,1308
tgp_Latn,17765,False,0.993771234428086,17,0.9954622802041974,11,0.9977246871444823,2,1760
tha_Thai,100000,False,0.9912226796943813,2,0.991532712194123,6,0.9964341022088189,16,196988
thk_Latn,13482,False,0.9940450871969376,26,0.994256541161455,25,0.9976470588235294,4,2339
thl_Deva,6915,False,0.9278510473235067,174,0.9313036690085871,161,0.9706247414149773,36,1208
thv_Latn,372,False,0.11650485436893204,323,0.5227272727272727,0,0.5227272727272727,0,65
tif_Latn,23726,False,0.987761547572049,30,0.9885420782299486,28,0.9885420782299486,28,1252
tig_Ethi,3064,True,0.06254653760238273,765,0.0959409594095941,238,0.0959409594095941,238,536
tih_Latn,40349,False,0.9914544820369725,74,0.9909281228192602,75,0.9909281228192602,75,5709
