lang,N,category,support_derive,support_judge,f1_baseline,f1_unmod_gate,f1_floor21,f1_floor21_gate,f1_gt_min,f1_gt_margin_adaptive,f1_freq_prior,f1_learned_bias,f1_margin_q5,f1_margin_q5_head
fao_Latn,94618,head,5324,7914,0.9494949494949495,0.9494949494949495,0.9470342826047523,0.9470342826047523,0.9487855908305286,0.9487855908305286,0.9475308641975309,0.9582950578724968,0.948813528502591,0.9486410326333969
far_Latn,10940,mid,154,203,0.977491961414791,0.9838187702265372,0.9741935483870969,0.9837133550488599,0.9741935483870969,0.9805194805194806,0.9838187702265372,0.9838187702265372,0.977491961414791,0.977491961414791
fas_Arab,100000,head,229411,343986,0.9398445771543641,0.9410206136399766,0.9403864197502402,0.9414709634631063,0.9340523239632619,0.9397151833040398,0.9490068405457804,0.9869719786650506,0.9398864249698994,0.9399407710830034
fat_Latn,39870,head,2637,4072,0.9103855505383814,0.9103855505383814,0.8982528263103803,0.8982528263103803,0.9120055758843003,0.9120055758843003,0.9146043917741372,0.9351669941060904,0.9092801387684302,0.9083347773349507
ffm_Latn,24480,twin,616,969,0.9651898734177216,0.9651898734177216,0.9613869188337274,0.9613869188337274,0.9636650868878356,0.9636650868878356,0.9629044988161011,0.9674861221252974,0.9644268774703557,0.9644268774703557
fij_Latn,100000,head,74216,110955,0.9946298089620567,0.9948417318783677,0.9946709461609822,0.9947062725931142,0.9945547639043155,0.9947602155487556,0.9947664538493308,0.994786871039376,0.9946638496126551,0.9946638496126551
fil_Latn,100000,head,94203,140931,0.9819947551329339,0.9824115120777831,0.9817689598021818,0.9818564906941356,0.9818875728921249,0.9821583453501551,0.9824105483456969,0.9825586353944563,0.9820116085086424,0.9820069499221865
fin_Latn,100000,head,236479,354399,0.9501029159140503,0.9639723628379497,0.9559967649204857,0.9689665261538127,0.9438386174838473,0.9599427941639551,0.9609224659738989,0.9747384645516748,0.9501544202663059,0.9501694473121655
fit_Latn,3881,flat_magnet,205,278,0.035893620978240656,0.05372332487688405,0.04229406554472984,0.07096512570965127,0.03160006687844842,0.04490275420963321,0.05310468814825059,0.21065989847715735,0.035840297121634175,0.035893620978240656
fkv_Latn,1884,flat_magnet,58,72,0.030982470444353857,0.042577030812324924,0.045763760049474335,0.062882096069869,0.020613373554550025,0.029909484454939,0.05559619604974396,0.10810810810810811,0.0307194826192401,0.030982470444353857
fmu_Deva,974,isolated_tail,18,25,0.8,0.878048780487805,0.8181818181818181,0.8421052631578948,0.7058823529411764,0.8292682926829269,0.9,0.878048780487805,0.9411764705882353,1.0
fon_Latn,100000,head,14597,21519,0.994116635128161,0.9948939378362632,0.995401509951956,0.9926882602159355,0.9946711589369822,0.9939767282683093,0.994222833562586,0.9942896456828345,0.9940824330833276,0.9941516444199806
for_Latn,31149,head,385,578,0.9909909909909909,0.9909909909909909,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.9909909909909909,0.9922680412371134,0.9909909909909909,0.9909909909909909
fra_Latn,100000,head,201250,302449,0.9693336830391815,0.9826443546527366,0.9706766707079333,0.9830499133205736,0.964247053855898,0.9816169183562359,0.9775686971269357,0.9852674478855276,0.9693417125861945,0.9693395565808806
frd_Latn,10934,mid,652,891,0.9939024390243903,0.997694081475788,0.9954198473282443,0.991492652745553,0.9954198473282443,0.9969230769230769,0.9969418960244648,0.9961802902979373,0.9939024390243903,0.9939024390243903
fro_Latn,15794,flat_magnet,1021,1446,0.44921046429413153,0.4737105658487732,0.4703547506822129,0.49775429326287984,0.44423661444938045,0.47930946940847924,0.516822945394374,0.7108290360967869,0.4494699646643109,0.44921046429413153
frp_Latn,5176,flat_magnet,290,400,0.10996427153632393,0.6075949367088608,0.11709997886281971,0.6717752234993615,0.10688790275901987,0.6146682188591386,0.1534201052340072,0.25239179954441915,0.10968125123737874,0.10996427153632393
frr_Latn,10794,mid,702,990,0.48258881463243053,0.8002385211687537,0.5066765578635015,0.8298136645962734,0.47176308539944894,0.7961859356376639,0.5916343251401467,0.716842105263158,0.47821540606483093,0.48258881463243053
fry_Latn,100000,head,8496,12422,0.9488536155202822,0.9405338439013402,0.9465085937943161,0.939041519186471,0.9494362828834985,0.9394825646794152,0.9435775667118951,0.9733045154506689,0.948529829949383,0.9484219505260165
fub_Latn,38248,twin,2011,3013,0.9794706900816226,0.9794706900816226,0.9769858945805494,0.9769858945805494,0.9779429987608426,0.9779429987608426,0.9777777777777777,0.9794706900816226,0.9794706900816226,0.9792284866468843
fud_Latn,9316,mid,536,848,0.5475946775844421,0.6854891661195011,0.5943238731218697,0.71448087431694,0.6235431235431236,0.7590711175616836,0.560796645702306,0.5596234309623431,0.5184108527131783,0.5475946775844421
fue_Latn,10730,mid,698,988,0.9688385269121814,0.972972972972973,0.9715909090909091,0.9757489300998574,0.9716312056737589,0.9757489300998574,0.9735525375268049,0.9715909090909091,0.9688385269121814,0.9688385269121814
fuf_Latn,21670,head,966,1370,0.9835560123329908,0.9835560123329908,0.9829633453794528,0.9829633453794528,0.9839958699019101,0.9839958699019101,0.9850746268656717,0.9871067560598246,0.9835560123329908,0.9820420728578759
fuh_Latn,24509,twin,1069,1612,0.9625468164794008,0.9625468164794008,0.9624413145539905,0.9624413145539905,0.9624413145539905,0.9624413145539905,0.9644194756554307,0.9661654135338346,0.9625468164794008,0.9625468164794008
fuq_Latn,17770,mid,842,1303,0.970828471411902,0.9719626168224299,0.9690962099125364,0.9713617767387492,0.9725306838106371,0.9725306838106371,0.9730363423212192,0.9736688121708601,0.970828471411902,0.970828471411902
fur_Latn,46173,head,3087,4521,0.8023009385407205,0.8023009385407205,0.789825970548862,0.789825970548862,0.79585087191822,0.79585087191822,0.8056900726392252,0.8202523853493381,0.8012084592145016,0.8004829459704196
fuv_Arab,6753,mid,396,575,0.9987389659520807,0.9961977186311787,1.0,0.989795918367347,1.0,0.9949238578680203,0.9987389659520807,0.9987389659520807,0.9987389659520807,0.9987389659520807
fuv_Latn,30578,twin,1394,2063,0.9489315465411082,0.9489315465411082,0.9447236180904522,0.9447236180904522,0.947444204463643,0.947444204463643,0.9511400651465797,0.9534545454545454,0.9479015918958033,0.9468738706179978
gaa_Latn,100000,head,69720,104590,0.9972315104447561,0.9973761205403036,0.9972388403129314,0.9973189192297465,0.9971955762012281,0.9973835537665325,0.997245971424257,0.9972531028432543,0.9972387211827476,0.997245971424257
gag_Cyrl,14070,mid,904,1352,0.974635725849973,0.9928057553956834,0.9756625202812332,0.992789794786467,0.9767190037899296,0.9933481152993349,0.9858078602620087,0.9852700490998362,0.974635725849973,0.974635725849973
gag_Latn,14325,mid,876,1426,0.6404411764705883,0.983342906375646,0.6473429951690821,0.9855907780979828,0.6402058066887174,0.9844559585492229,0.7350210970464135,0.8561576354679803,0.6387972130546388,0.6404411764705883
gah_Latn,24357,head,417,614,0.9916765755053507,0.9916765755053507,0.9940405244338498,0.9940405244338498,0.9940405244338498,0.9940405244338498,0.9940405244338498,0.996415770609319,0.9916765755053507,0.9916765755053507
gai_Latn,17631,mid,615,976,0.9991876523151909,1.0,0.9991876523151909,0.9991863303498779,1.0,0.9991863303498779,0.9991876523151909,0.9991876523151909,0.9991876523151909,0.9991876523151909
gam_Latn,24151,head,418,641,0.9916765755053507,0.9916765755053507,0.992857142857143,0.992857142857143,0.992857142857143,0.992857142857143,0.992857142857143,0.9940405244338499,0.9916765755053507,0.9916765755053507
gaw_Latn,24230,head,440,599,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043,0.9988649262202043
gaz_Latn,100000,head,49093,73516,0.9888507189434925,0.9942993747701361,0.9893313051164512,0.9940957751082782,0.9886436110025305,0.9941660280970626,0.9906712780041256,0.9912504744027655,0.9888511776200761,0.9888412370285808
gbi_Latn,13298,mid,848,1221,0.9958847736625515,0.9964622641509434,0.9958847736625515,0.9952718676122931,0.9964705882352942,0.9970501474926254,0.9958847736625515,0.9958847736625515,0.9958847736625515,0.9958847736625515
